strategy,"n. 战略, 策略
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
pocketbook,"n. 笔记本, 钱袋, 皮夹, 经济来源"
shilling,"n. 先令
"
unsay,"vt. 取消, 撤回"
tactless,"a. 不机智的, 不机敏的"
lay out,"n. 布局；设计；规划；安排
"
in a row,"成一长行, 连续, 一连串"
to sb.'s taste,无
take advantage of,"v. 利用
 欺骗, 占…的便宜"
and what's more,[网络] 更重要的是；而且啊；更何况
all right,"好, 顺利, 良好的, 正确的"
break off,"v. 断绝；摘；把…折断；使脱落
"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come down in the world,落泊
out of place,"不在合适位置, 不合适"
do sb. a favor,[网络] 帮忙；帮一个忙；做好事
do sb. a favour,[网络] 帮忙；帮个忙；帮助某人
mistake ... for,错认
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
count out,"na. 一面数一面取出；一面数一面分开；除开
"
long for,渴望
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
arise,"vi. 站立, 出现, 起来"
impatient,"a. 不耐烦的, 着急的, 急切的"
response,"n. 反应, 回答, 响应
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
faded,"a. 已褪色的, 已凋谢的"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
stocking,"n. 长袜
"
intensity,"n. 强烈, 紧张, 强度
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
loyalty,"n. 忠贞, 忠诚, 忠实
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
instinct,"n. 本能, 直觉
a. 充满着的"
magician,"n. 魔术家, 幻术家, 术士"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
community,"n. 社区, 公众, 共有, 共同体
"
hallway,n. 门厅；玄关；走廊
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
instantly,"adv. 立即地, 即刻地"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
second-hand,"中间人, 助手
"
somehow,adv. 不知何故
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
down payment,na. 预付定金; 分期付款的首次交款
sicken,"vt. 患病, 使厌倦, 使恶心
vi. 生病, 作呕"
rob,"v. 抢夺, 抢掠, 剥夺"
astonish,vt. 使惊讶
absolutely,"adv. 完全地, 绝对地, 确确实实地"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
hint,"n. 暗示, 提示
v. 暗示, 示意"
avoid,"vt. 避免, 防止, 撤消
"
deny,"v. 否认, 拒绝"
privacy,"n. 隐私, 隐居, 秘密
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
talent,"n. 天才, 才能, 有才干的人, 天资"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
spontaneously,"adv. 自发, 一时冲动, 出自自然, 不依赖人工, 自然产生, 本能, 自动, 自然而优雅"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
gratitude,n. 感激之情
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
hand-held,"un. 手动的；手提式
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
ear-to-ear,"合不拢嘴
咧着嘴"
grin,"n. 露齿笑
v. 露齿而笑"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
acquire,"vt. 获得, 学到
"
confidence,"n. 信心
"
naturally,"adv. 自然地, 以自然力, 天生地"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
indicate,"vt. 显示, 象征, 指示, 指出
"
indication,"n. 指示, 象征, 暗示
"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
doll,"n. 洋娃娃, 无头脑的美丽女人"
buddy,"n. 好朋友, 伙伴"
necktie,n. 领带
halfhearted,"a. 不认真的, 无兴趣的, 不热心的"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
snap one's fingers,[网络] 的一声弹指用响；赶快；打响指
two-wheeler, 二轮摩托车
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
in search of,寻找
something like,"有几分象, 有些象"
scrape together,"积蓄,凑集,勉强凑足"
rob of,"v. 抢走
"
rob sb. of sth.,"v. 抢走
"
come upon,"偶遇, 袭击, 要求, 成为...负担"
think over,"v. 仔细考虑
"
come true,"实现, 成为事实"
on cue,就在这个时候
hug oneself,"使沾沾自喜, 使深自庆幸"
do well by,[网络] 对…很好
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
decorate,v. 装饰
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
pillow-case,[网络] 枕套；枕头套；开口式枕套
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
salad,n. 色拉
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
dessert,n. 餐后甜点
ice-cream,"冰淇淋
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
beast,"n. 畜生, 动物, 野兽, 兽性"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
excitement,"n. 刺激, 兴奋
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
Venusian,a. 金星的
satellite,"n. 人造卫星
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
astronomer,n. 天文学家
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
extremely,"adv. 极端地, 非常地"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
feasibility,"n. 可行性, 可能性
"
feasible,"a. 能实行的, 可行的, 适宜的
"
manned,"a. 有人驾驶的, 有人操纵的"
saucer,"n. 茶碟, 茶托
"
flying saucer,"飞碟,不明飞行物"
conference,"n. 会议
"
press conference,"记者招待会
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
technology,"n. 技术, 工业技术, 术语
"
conclusion,"n. 结论, 结尾, 推论
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
reporter,"n. 记者, 报告者
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
atmosphere,"n. 大气, 空气, 气氛
"
carbon,"n. 碳, 副本, 复写纸
"
monoxide,"n. 一氧化物
"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
gas,"n. 气体, 汽油, 瓦斯
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
oxygen,"n. 氧
"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
consolidated,a. 整理过的；巩固的；统一的
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
pollute,"vt. 污染, 弄脏, 玷污
"
pollution,"n. 污染, 玷污
"
unfit,"a. 不适当的, 不胜任的, 不健康的
vt. 使不相宜, 使不合格"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
emission,"n. 发射, 射出, 发行
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
stalagmite,n. 石笋
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
granite,"n. 花岗岩
"
formation,"n. 形成, 构造, 编队
"
skyscraper,"n. 摩天楼, 三角形天帆"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
billion,"num. 十亿, 十亿个"
zilch,"n. 一无所有, 小人物, 无, 零"
known as," 被称为, 公认为"
be known as,被认为是
name after, 以…的名字起名
as to,"根据,按照,依照;关于,至于,就…而言"
base on,"v. 根据
"
base upon,使建立在…基础上
for one thing ...,首先
for one thing ... for another,无
be composed of,由...组成
as far as ... be concerned,"就…来说, 就…而论"
stick up,竖起
give off,"na. 发散(水蒸气等)
"
set back,"na. 阻碍；延迟；〈非正式〉花费
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
definite,"a. 明确的, 一定的
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
mysterious,"a. 神秘的, 难解的, 不可思议的"
mystery,"n. 秘密, 神秘, 奥秘"
folklore,"n. 民俗学, 民间风俗, 民间传说"
reappear,vi. 再出现
anew,"adv. 重新, 再"
sometime,"a. 以前的, 某一时间的
adv. 改天, 来日"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
vanish,"vi. 消失, 不见, 成为零"
ill-fitting,a. 不合的; 扞格
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
runaway,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
brightly,"adv. 生辉地, 明亮地, 鲜明地"
swig,"n. 痛饮, 牛饮, 鲸饮
v. 满满一口喝下, 牛饮, 大喝特喝"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
painfully,"adv. 痛苦地, 苦恼地, 费力地"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
yeah,"adv. (非正式)是, 是的"
parole,"n. 假释, 誓言, 释放宣言
vt. 宣誓后释放, 使假释出狱"
oak,"n. 橡树, 橡木
a. 橡木制的"
exclaim,"v. 大叫, 呼喊, 大声叫"
unformed,"a. 未成形的, 无定型的, 未充分发展的"
snapshot,"n. 快照, 抽点打印
"
tighten,"vt. 勒紧, 使变紧
vi. 变紧, 绷紧"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
banner,"n. 旗帜
a. 显著的, 特别好的"
billow,"n. 巨浪
vi. 象巨浪般汹涌, 象巨浪般波动
vt. 使翻腾"
con,"vt. 精读, 仔细研究, 默记
adv. 反面地, 从反面
a. 欺诈的
n. 反对者, 反对票, 肺结核
"
dream of,"梦见,梦想,向往,渴望"
pull into,(车)进站
come through,"经历...仍活着, 安然度过, 胜利, 表现"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
be caught up in,"被卷入, 牵涉, 涉及"
take over,"na. 接管；继承
"
make one's way,"前进, 行进, 成功, 发迹"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
headquarters,"n. 总部, 司令部, 总部人员
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
ridiculous,"a. 荒谬的, 可笑的"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
