accomplishment,"n. 成就, 完成"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
addition,"n. 加法, 增加的人(或物)
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
advisable,"a. 适当的, 明智的"
alchemist,"n. 炼金术士
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
auction,"n. 拍卖
vt. 拍卖"
cellist,n. 大提琴演奏家
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
cheque,n. 支票
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
complacence,"n. 满足, 自鸣得意, 自满"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
compute,"v. 计算, 估算
n. 计算, 估算"
construction,"n. 建筑, 构造, 建筑物
"
corps,"n. 军, 队, 部队, 兵种
"
depict,"vt. 描述, 描写"
eminent,"a. 显赫的, 杰出的, 有名的"
fantasy,"n. 幻想, 想象的产物
"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fashionable,"a. 时髦的, 上流社会的, 流行的"
flu,"n. 流感, 流行性感冒"
glossy,"a. 平滑的, 有光泽的"
granite,"n. 花岗岩
"
graphite,"n. 石墨
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
hockey,"n. 冰球, 曲棍球"
humid,"a. 潮湿的, 湿润的, 多湿气的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
illustration,"n. 例证, 插图
"
incongruity,"n. 不协调, 不一致, 不合适
"
inner,"a. 内部的, 内心的
n. 内部"
intrepid,"a. 无畏的, 勇猛的"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
locality,"n. 地方, 所在, 位置
"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
magnesium,"n. 镁
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
monotonous,"a. 单调的, 无变化的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
mythology,n. 神话
navigation,"n. 航行, 航海, 导航
"
ooze,"n. 渗流, 分泌物
v. 渗出, 泄漏"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
pastel,"n. 粉蜡笔, 粉蜡笔画, 随笔
a. 彩色蜡笔的, 蜡笔画的, 柔和的, 纤弱的"
persist,"vi. 坚持, 固执, 持续, 坚称
"
pleasing,"a. 令人喜爱的, 愉快的, 舒适的"
portable,"a. 可携带的, 可搬运的, 可移动的
"
prevail,"vi. 获胜, 流行, 盛行
"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
refurbish,"vt. 再磨光, 刷新"
religion,"n. 宗教, 信仰
"
remind,"vt. 提醒, 使想起"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
reunion,"n. 团圆, 重聚
"
semester,n. 学期
sewage,"n. 脏水, 污水
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
squid,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置
"
stratigraphy,"n. 地层学, 地层情况
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
suffragist,"n. 参政权扩大论者, 妇女参政权论者"
technological,"a. 技术的
"
tedium,"n. 单调乏味, 沉闷"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
underlying,"a. 在下面的
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
vegetative,"a. 植物的, 蔬菜的, 生长的, 无性繁殖的, 植物似的, 生活呆板单调的, 生长性的
"
wagon,"n. 四轮马车, 货车
"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
addictive,a. 上瘾的
agency,"n. 代理机构, 经销商, 中介
"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
anxious,"a. 忧虑的, 发愁的, 渴望的"
atmosphere,"n. 大气, 空气, 气氛
"
attractive,"a. 吸引人的, 有魅力的
"
audience,"n. 听众, 观众, 读者
"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
beverage,"n. 饮料
"
bold,"a. 大胆的
n. 粗体
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
comply,"vi. 顺从, 依从
"
comprise,"vt. 包含, 构成"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
crumple,"vt. 弄皱, 压皱
vi. 崩溃, 变皱"
depot,"n. 停车场, 车站, 贮藏所, 仓库
"
deserted,"a. 被遗弃的, 废弃的
"
diagnose,v. 诊断
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
diversification,"n. 变化, 多样化
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
expressly,"adv. 明白地, 清楚地, 特意地"
facility,"n. 容易, 灵巧, 设备
"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
finch,n. 雀科鸣鸟
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
gasoline,"n. 汽油
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
hieratic,"a. 僧侣的, 僧侣书写体的"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
impressive,"a. 给人深刻印象的, 威严的"
inheritance,"n. 遗传, 遗产
"
interactive,"a. 相互作用的, 相互影响的
"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
latitude,"n. 纬度, 范围
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
legislature,"n. 立法机关, 议会, 立法院
"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
metric,"a. 公尺的, 公制的, 计量的
"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
modeling,"n. 模特儿职业, 立体感
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
multiply,"v. 繁殖, 乘, 增加
"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
offspring,"n. 子孙, 后代, 产物
"
pamphlet,"n. 小册子, 活页文选"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
petroleum,"n. 石油
"
pharmacy,"n. 药房, 配药学, 制药业
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
priority,"n. 优先权, 优先
"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
recurring,
refraction,"n. 折光, 折射
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
stanza,"n. 演出期, (体育比赛的)局"
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
unity,"n. 一致, 联合, 单一(性), 个体
"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
abrasion,"n. 磨擦, 磨损, 磨损处
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
astronomy,n. 天文学
boundary,"n. 边界, 分界线
"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
candidate,"n. 候选人, 投考者
"
coincide,"vi. 一致, 符合
"
colony,"n. 殖民地, 移民队
"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
concave,"a. 凹的
"
cooperation,"n. 合作, 协力, 配合
"
curious,"a. 好奇的, 求知的, 古怪的"
decode,"vt. 解码, 译解
"
demanding,"a. 要求高的, 费力的"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
diversity,"n. 差异, 多样性
"
dogged,"a. 顽固的, 顽强的"
donation,"n. 捐赠物, 捐款, 捐赠
"
dormitory,n. 宿舍
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drowsy,"a. 昏昏欲睡的
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
efficiency,"n. 效率, 效能, 功效
"
elevation,"n. 海拔, 提高, 仰角
"
elongate,"v. 延长, (使)伸延
a. 伸长的"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
erupt,"vi. 爆发
vt. 喷出"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
fraction,"n. 小部分, 破片, 分数
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
hitherto,"adv. 迄今, 至今"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
inanity,"n. 空虚, 愚蠢"
ingredient,"n. 成分, 因素
"
insulin,"n. 胰岛素
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
invitation,"n. 邀请, 请柬, 引诱
"
inviting,"a. 引人动心的, 有魅力的
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
item,"n. 项目, 条款, 一则, 项
"
keyboard,"n. 键盘
"
lettuce,"n. 莴苣, 生菜, 纸币
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
mason,"n. 泥瓦匠, 共济会会员
vt. 用砖瓦砌成"
meantime,"n. 间隔时间, 其时
adv. 其间"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
metallic,"a. 金属的, 含金属的, 产生金属的
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
monastery,"n. 修道院, 僧侣"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
nourish,"vt. 滋养, 使健壮, 怀有"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
ornithology,n. 鸟类学
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
proposal,"n. 提议, 计划, 求婚
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
realm,"n. 王国, 领土, 领域
"
rug,"n. 小块地毯, 揭露某人"
sac,"n. 囊, 液囊, (美)战略空军司令部
"
satiric,"a. 讽刺的, 挖苦的"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
so-called,adj. 所谓的
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
translucent,"a. 半透明的, 透明的"
untamed,"a. 未经驯服的, 不能抑制的, 难控驭的"
X-ray,"X射线, X光, X光照片"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
convey,"vt. 传达, 运输, 转让
"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
differentiate,"v. 区别, 区分"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
dismal,"a. 阴沉的, 凄凉的, 令人忧郁的
n. 低落的情绪, 沼泽"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
donate,v. 捐赠
dubious,"a. 可疑的, 不确定的"
durable,"a. 持久的, 耐用的"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
elm,"n. 榆树
"
emotional,"a. 情绪的, 情感的
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
environmental,"a. 周围的, 环境的
"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
extremity,"n. 极端, 极点, 困境, 绝境
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
formation,"n. 形成, 构造, 编队
"
genre,"n. 类型, 流派"
gravel,"n. 砂砾, 碎石
"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
hemp,"n. 大麻烟卷, 大麻, 麻类植物
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
incinerate,"vi. 烧成灰, 灰化
vt. 焚化"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
inevitably,adv. 不可避免地
inherent,"a. 固有的, 与生俱来的
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
intentionally,"adv. 故意地, 有意地"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
kennel,"n. 狗舍, 狗屋, 阴沟
vt. 置于狗舍, 宿于狗舍
vi. 进狗窝"
librarian,"n. 图书馆员, 图书管理员
"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
mast,"n. 桅, 桅杆, 杆
vt. 装桅杆于"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
naval,"a. 海军的, 军舰的, 有舰队的
"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
noxious,"a. 有害的, 有毒的, 使道德败坏的
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
optional,"a. 可选择的, 随意的
"
ore,"n. 矿石
"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
part-time,n. 兼任，部分时间
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
photography,"n. 摄影, 摄影术
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
posit,"vt. 假设, 安置, 布置"
precise,"a. 精确的, 严谨的, 明确的
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
quantify,"vt. 定量, 用数量表示, 测量"
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
recharge,"vt. 再充电, 再装填, 再控告, 再袭击
vi. 再袭击
n. 再袭击, 再装填"
rendition,"n. 译文, 施舍, 表演
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
seem,"vi. 象是, 似乎"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
significance,"n. 重要性, 意义, 意味
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
startling,a. 令人吃惊的
stellar,"a. 星的, 似星的, 星球的, 主要的"
successive,"a. 继承的, 连续的
"
tantalizing,"a. 逗引性的, 干着急的"
tectonics,"n. 构造学, 构造地质学"
torpor,"n. 麻木, 无感觉, 迟钝
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
absorption,"n. 吸收, 专心, 全神贯注
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
appointment,"n. 约会, 委任的职位, 委派
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
archaeology,n. 考古学
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
besiege,"vt. 围攻, 包围"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
bouquet,"n. 花束
"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
collision,"n. 碰撞, 冲突, 抵触
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
continent,"n. 大陆, 洲
a. 自制的"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
cookout,n. 在外面野餐的郊游
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
derive,"vt. 得自
vi. 起源"
dessert,n. 餐后甜点
dispersal,"n. 散布, 传播, 分散"
domesticate,"vt. 养驯, 引进(外来词等), 教化"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
elicit,"vt. 引出, 推导出, 引起"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
eviscerate,"vt. 取出内脏, 除去精华, 切除(病人)器官
vi. (因手术不良)内脏凸出"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
gorilla,"n. 大猩猩, 残暴的男人, 歹徒"
healthful,"a. 有益健康的, 使人健康的, 卫生的
"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
hinterland,"n. 内地, 腹地, 偏僻地区
"
hypothesize,"vt. 假设, 假定"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
locally,"adv. 地方性地, 局部性地, 在当地"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
modem,"n. 调制解调器
"
neuron,"n. 神经原, 轴索, 神经细胞
"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
periphery,"n. 外围, 边缘地区, 圆周
"
prairie,"n. 大草原, 草甸"
predator,"n. 食肉动物, 掠夺者
"
predict,"v. 预知, 预言, 预报"
predictable,a. 可预言的
prehistoric,"a. 历史以前的, 史前的"
previous,"a. 早先的, 前面的, 过急的
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
prodigious,"a. 庞大的, 惊人的, 异常的"
professional,"n. 专业人才
a. 专业的, 职业的"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
raven,"n. 渡鸦, 掠夺
a. 乌黑的
v. 掠夺, 狼吞虎咽"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
require,"vt. 需要, 命令, 要求
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
Saturn,n. 土星
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
seasonal,"a. 季节的, 依照季节的, 周期性的
"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
undergo,"vt. 遭受, 经历, 忍受
"
velocity,"n. 速度, 迅速
"
versatile,"a. 多才多艺的, 万用的, 万向的"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
allergy,"n. 变应性, 反感, 厌恶
"
arid,"a. 干燥的, 不毛的"
aroma,"n. 浓香, 香气
"
assign,"vt. 分配, 指派, 赋值
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
athlete,"n. 运动员, 运动选手
"
aviation,"n. 航空, 航空学, 飞行术
"
bedrock,"n. 基岩, 基本原理, 基础"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
carnivore,"n. 食肉动物
"
census,"n. 户口普查
vt. 实施统计调查"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
