intellect,"n. 智力, 出众的才华, 知识分子
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
credible,"a. 可信的, 可靠的
"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
decorate,v. 装饰
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
acquaint,"vt. 使认识, 介绍"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
critique,"n. 评论文章, 评论"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
supervise,"v. 监督, 管理, 指导"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
acquire,"vt. 获得, 学到
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
inclusive,"a. 包含的, 包括的"
remain,"vi. 保持, 逗留, 剩余
"
cruel,"a. 残酷的, 令人极痛苦的
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
emphasize,"vt. 强调, 加强语气, 着重"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
non-controversial,"adj. 不会引起争议的；一致的
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
declaration,"n. 宣告, 说明, 宣布
"
encode,"vt. 把(电文、情报等)译成密码
"
inadequate,"a. 不充分的, 不适当的
"
organise,"vt. 组织, 有机化, 给予生机"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
feedback,"n. 反馈, 反应
"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
differentiate,"v. 区别, 区分"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
unrepresentative,"a. 非代表性的, 不典型的"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
visual,"a. 视觉的
"
adequate,"a. 适当的, 足够的
"
defend,"vt. 防护, 辩护, 防卫
"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
definite,"a. 明确的, 一定的
"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
outcome,"n. 结果, 出口"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
certify,"v. 证明, 保证"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
biography,n. 传记
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
biology,"n. 生物学
"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
redundant,"a. 多余的, 过多的, 冗长的
"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
impel,"vt. 推动, 激励, 驱使, 迫使"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
universe,"n. 宇宙, 星系, (思想等)范围"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
financial,"a. 财政的, 金融的
"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
conversation,"n. 会话, 说话, 交谈
"
donate,v. 捐赠
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
chaos,"n. 大混乱, 混沌
"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
indicate,"vt. 显示, 象征, 指示, 指出
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
withstand,"vt. 抵住, 顶住, 经得起"
affair,"n. 事件, 事务, 恋爱事件"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
lineage,"n. 血统, 直系
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
denote,"vt. 指示, 表示"
indignant,"a. 愤怒的, 愤慨的"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
hostage,"n. 人质, 抵押品
"
permission,"n. 许可, 允许
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
establishment,"n. 确立, 制定, 设施
"
renovation,"n. 革新, 刷新, 修理
"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
afford,"vt. 买得起, 足以, 给予"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
agency,"n. 代理机构, 经销商, 中介
"
department,"n. 部门, 系, 机关
"
literary,"a. 文学的, 文艺的, 精通文学的
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
aggravate,"vt. 使恶化, 使更严重, 加重"
environment,"n. 环境, 外界, 围绕
"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
misinterpret,vt. 曲解
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
intangible,"a. 难以明了的, 无形的
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
unsurpassed,"a. 未被超越的, 非常卓越的"
unexpected,"a. 料想不到的, 突然的, 意外的
"
depute,"vt. 指定代理人, 委以代理人, 委任
"
philharmonic,"a. 爱好音乐的, 交响乐团的, 爱乐团体的
n. 音乐爱好者, 音乐协会, 音乐会, 交响乐团"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
tolerate,"vt. 宽容, 容许, 有耐力"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
beneficial,"a. 有益的, 受益的
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
derive,"vt. 得自
vi. 起源"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
equip,"vt. 装备, 配备
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
recession,"n. 后退, 凹处, 衰退, 归还
"
shareholder,"n. 股东
"
infer,"vt. 推论出, 推断
vi. 作推论"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
disastrous,"a. 损失惨重的, 悲伤的"
integrity,"n. 正直, 廉正, 完整
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
pretend,"v. 假装, 伪称, 自命, 自称"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
destruct,"n. 自毁
vi. 自毁"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
prevail,"vi. 获胜, 流行, 盛行
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
allocate,"vt. 分派, 分配
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
circumstance,"n. 环境, 状况, 事件"
molecule,"n. 分子, 些微
"
tradition,"n. 传说, 传统, 交付
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
correspondence,"n. 相符, 通信, 信件
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
drastic,"a. 激烈的
"
humanity,"n. 人性, 人类, 博爱"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
updated,a. 更新的；现代化的
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
alphabet,"n. 字母
"
innovation,"n. 改革, 创新
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
alter,v. 改变
inquiry,"n. 质询, 探索, 调查, 询盘
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
dialect,"n. 方言, 同源语"
replace,"vt. 代替, 替换, 放回, 归还
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
classical,"a. 古典的, 正统派的, 经典的
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
insist,"v. 坚持, 坚决主张, 强调"
dilemma,"n. 困境, (进退两难的)窘境"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
affirm,"v. 断言, 确认"
intention,"n. 意图, 目的, 含义
"
propaganda,"n. 宣传, 宣传活动
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
amount,"n. 总数, 总额
vi. 总计, 等同"
procedure,"n. 程序, 过程, 手续
"
analogue,"n. 类似物, 相似情况
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
analyse,"vt. 分析, 细察, 分解
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
legislation,"n. 立法, 法律
"
ancestor,"n. 祖先, 祖宗"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
affordable,[计] 普及型
dropout,"n. 退学学生, 中途退学
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
infrastructure,"n. 基础结构, 基础设施
"
spectrum,"n. 光谱, 范围, 系列
"
intend,"vt. 计划, 打算, 意思是
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
fragile,"a. 易碎的, 脆的
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
anthropology,"n. 人类学
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
coincide,"vi. 一致, 符合
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
restrict,"vt. 限制, 限定, 约束
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
turnaround,"n. 转向, 回车道, 转变
"
colleague,"n. 同事, 同僚"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
applicable,"a. 合适的, 可应用的
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
appoint,"vt. 任命, 指定, 下令
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
explicit,"a. 详述的, 清楚的, 直言的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
intuition,"n. 直觉, 直觉的知识"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
approval,"n. 赞成, 批准
"
distant,"a. 远的, 疏远的
"
explore,"v. 探险, 探测, 探究"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
distribute,"vt. 分配, 散布, 分发
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
investigate,"v. 调查, 审查"
diverse,"a. 不同的, 变化多的"
astronomer,n. 天文学家
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
prosecution,"n. 执行, 经营, 起诉"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
dominate,"v. 支配, 占优势"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
specify,"vt. 详列, 指定, 说明
"
incentive,"n. 动机
a. 激励的"
compel,"vt. 强迫, 迫使"
compensate,"v. 偿还, 补偿, 付报酬"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
aspire,"vi. 渴望, 立志于"
drama,"n. 戏剧, 戏剧艺术"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
aggressively,"adv. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
prosperity,"n. 繁荣, 茂盛, 成功
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
tragic,"a. 悲惨的, 悲剧的"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
asset,"n. 资产, 有益的东西"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
assign,"vt. 分配, 指派, 赋值
"
federal,"a. 联邦的, 联合的, 同盟的
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
astound,"vt. 使惊骇, 使大惊"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
astrology,"n. 占星术, 占星学"
confer,"vt. 授予, 带来
vi. 协商"
precise,"a. 精确的, 严谨的, 明确的
"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
classify,"vt. 分类, 归类, 分等
"
inherited,a. 遗传的；继承权的；通过继承得到的
interrupted,"a. 中断的, 被阻断的, 被遮断的, 被打断的
"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
connect,"v. 连接, 联合, 联系"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
prolong,"vt. 延长, 拖延, 拖长
"
consist,"vi. 组成, 存在于, 一致"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
promote,"vt. 促进, 晋升, 创办, 推销
"
constitution,"n. 构成, 宪法, 体格
"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
intimidate,"vt. 威胁, 恐吓
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
superiority,"n. 优越, 高傲
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
exclude,"vt. 除外, 排除, 排斥
"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
quake,"vi. 颤抖, 地震
n. 颤抖, 地震"
safari,"n. 旅行, 旅行队, 科学考察"
tact,"n. 机智, 手法, 老练
"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
zeal,"n. 热心, 热衷, 热诚"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
background,"n. 背景, 背景资料
"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
damage,"n. 损害, 伤害
v. 损害"
earn,"vt. 赚得, 获得, 博得
"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
unable,"a. 不能的, 不会的
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
ability,"n. 能力, 才干
"
backload,[网络] 撤离费；调整；背载荷
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
gaping,a. 多洞穴的
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
