alphabet,"n. 字母
"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
watch TV, 看电视
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
Brazilian,"n. 巴西人
a. 巴西的, 巴西人的"
Canadian,a. 加拿大的
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
Egyptian,"n. 埃及人
a. 埃及的, 埃及人的"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
Korean,"n. 朝鲜人, 朝鲜语
a. 朝鲜人的, 朝鲜语的"
Mexican,"n. 墨西哥人, 墨西哥语
a. 墨西哥的"
Polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
Puerto Rican,n. 波多黎各人
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
Portuguese,"n. 葡萄牙人, 葡萄牙语
a. 葡萄牙的, 葡萄牙人的, 葡萄牙语的"
English,[网络] 英语
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
Arabic,"n. 阿拉伯语
a. 阿拉伯语的, 阿拉伯人的, 阿拉伯式的"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
Korean,"n. 朝鲜人, 朝鲜语
a. 朝鲜人的, 朝鲜语的"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
Polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
baby-sit,"vi. 担任临时保姆, 照顾婴儿"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
do yoga,无
go dancing,[网络] 去跳舞；去跳舞吧
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
play volleyball,[网络] 打排球；玩排球；排球比赛
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
see a movie,看电影
see a play,[网络] 看戏；看演出；看戏剧演出
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
American,"n. 美国人
a. 美国的, 美洲的"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
Mexican,"n. 墨西哥人, 墨西哥语
a. 墨西哥的"
Puerto Rican,n. 波多黎各人
English,[网络] 英语
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
athletic,a. 运动的
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
baby-sit,"vi. 担任临时保姆, 照顾婴儿"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
do yoga,无
go dancing,[网络] 去跳舞；去跳舞吧
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
play volleyball,[网络] 打排球；玩排球；排球比赛
ride a bicycle,"na. 骑自行车
"
see a movie,看电影
see a play,[网络] 看戏；看演出；看戏剧演出
year,"n. 年, 年度, 年龄
"
month,"n. 月
"
week,"n. 星期, 周"
day,"n. 天, 日子, 白天, 工作日
"
weekend,"n. 周末, 周末休假"
morning,"n. 早晨, 早上, 初期"
afternoon,"n. 午后, 下午"
evening,"n. 傍晚, 晚间, 末期"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
day,"n. 天, 日子, 白天, 工作日
"
week,"n. 星期, 周"
month,"n. 月
"
year,"n. 年, 年度, 年龄
"
weekend,"n. 周末, 周末休假"
morning,"n. 早晨, 早上, 初期"
afternoon,"n. 午后, 下午"
evening,"n. 傍晚, 晚间, 末期"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
long hair,"n. 知识分子；同“hippie”
"
short hair, 短头发
straight hair,n. 直发
curly hair, [医]卷发，翘翅发
blond hair,n. 金发
brown hair, [医]棕发
black hair,n. 黑毛发，头发
brown eyes,[网络] 棕色眼眸；一年后；褐色眼眸
blue eyes, [电影]复仇之路
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
sad,"a. 忧愁的, 悲哀的"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
thirsty,"a. 口渴的, 渴望的, 干燥的"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
tired,"a. 疲累的, 疲乏的, 厌倦的"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
angry,"a. 生气的, 愤怒的"
nervous,"a. 神经紧张的, 不安的, 神经的
"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
embarrassed,a. 尴尬的；窘迫的
angry,"a. 生气的, 愤怒的"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
embarrassed,a. 尴尬的；窘迫的
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
nervous,"a. 神经紧张的, 不安的, 神经的
"
sad,"a. 忧愁的, 悲哀的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
thirsty,"a. 口渴的, 渴望的, 干燥的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
bite my nails,[网络] 咬我的指甲；我咬指甲；指甲的刺痛
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
cover my eyes,无
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
perspire,"v. 出汗, 流汗, 分泌, 渗出"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
walk back and forth,无
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
ride a bicycle,"na. 骑自行车
"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
take the bus,[网络] 乘公共汽车；坐公共汽车；乘公交车
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
actor,"n. 男演员, 行动者
"
actress,n. 女演员
baker,"n. 面包师
"
chef,n. 厨师
construction worker, 建筑工人
dancer,"n. 舞蹈演员, 跳舞者"
mechanic,"n. 机械工, 技工
a. 手工的"
salesperson,n. 售货员
secretary,"n. 秘书, 书记, 大臣
"
singer,n. 歌手
superintendent,"n. 监督人, 主管人, 主日学校校长
"
teacher,"n. 教师, 老师, 导师"
truck driver, 卡车司机
actor,"n. 男演员, 行动者
"
actress,n. 女演员
baker,"n. 面包师
"
chef,n. 厨师
construction worker, 建筑工人
dancer,"n. 舞蹈演员, 跳舞者"
mechanic,"n. 机械工, 技工
a. 手工的"
salesperson,n. 售货员
secretary,"n. 秘书, 书记, 大臣
"
singer,n. 歌手
superintendent,"n. 监督人, 主管人, 主日学校校长
"
teacher,"n. 教师, 老师, 导师"
truck driver, 卡车司机
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
build,"v. 建立, 建筑
n. 构造, 体格"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
operate,"v. 操作, 运转, 动手术, 活动"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
speak Spanish,无
take inventory,[经] 实地清点盘存
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
months of the year,[网络] 月份；一年中的月份；十个月份
January,n. 一月
February,n. 二月
March,abbr. Master of Architecture 建筑学硕士
April,n. 四月
May,"n. 五月
aux. 愿能, 可以, 愿意"
June,n. 六月
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
September,n. 九月
October,n. 十月
November,n. 十一月
December,n. 十二月
seasons,"n. 季节, 四季"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
autumn,"n. 秋天, 成熟期"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
January,n. 一月
February,n. 二月
March,abbr. Master of Architecture 建筑学硕士
April,n. 四月
May,"n. 五月
aux. 愿能, 可以, 愿意"
June,n. 六月
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
September,n. 九月
October,n. 十月
November,n. 十一月
December,n. 十二月
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
autumn,"n. 秋天, 成熟期"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
headache,"n. 头痛, 令人头痛之事
"
stomachache,"n. 胃痛, 肚子痛"
toothache,"n. 牙痛
"
backache,n. 背痛
earache,"n. 耳朵痛
"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
fever,"n. 发烧, 发热, 热病
"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
sore throat,"咽喉痛
"
backache,n. 背痛
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
earache,"n. 耳朵痛
"
fever,"n. 发烧, 发热, 热病
"
headache,"n. 头痛, 令人头痛之事
"
sore throat,"咽喉痛
"
stomachache,"n. 胃痛, 肚子痛"
toothache,"n. 牙痛
"
How are you?,你好吗?
How do you feel today?,无
What's the matter?,"na. 发生了什么事?
"
I feel great!,无
I feel fine.,无
I feel okay.,无
So-so.,"勉强过得去, 一般"
Not so good.,[网络] 不怎么好；不太好；不是很好
I feel terrible.,[网络] 我感觉糟透了；我感到很难受；我觉得糟透了
got up,v. 装订，精力，打扮( get-up的过去式 ); 起床
took a shower,无
had breakfast,无
read the newspaper,[网络] 看报；看报纸；读报纸
did exercises,无
ate lunch,无
drove to the supermarket,无
bought groceries,无
made dinner,无
wrote a letter,无
saw a movie,无
went to sleep,[网络] 去睡觉
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
bought,"a. 买来的
buy的过去式和过去分词"
do,"v. 做, 进行, 完成"
did,do的过去式
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
drove,"n. 畜群
drive的过去式"
eat,"v. 吃, 腐蚀"
ate,"eat的过去式
"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
forgot,forget的过去式和过去分词
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
got,"get的过去式和过去分词
"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
went,go的过去式
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
had,have的过去式和过去分词
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
made,"a. 人工制成的, 成功的, 创造的
make的过去式和过去分词"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
met,"meet的过去式和过去分词
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
stole,"n. 女用披肩, 圣衣
steal的过去式"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
took,take的过去式
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
wrote,write的过去式
sad,"a. 忧愁的, 悲哀的"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
healthy,"a. 健康的, 有益健康的, 卫生的
"
tiny,"a. 很少的, 微小的"
enormous,"a. 巨大的, 庞大的"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
energetic,"a. 精力充沛的, 积极的"
beautiful,a. 美丽的
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
energetic,"a. 精力充沛的, 积极的"
enormous,"a. 巨大的, 庞大的"
exciting,"a. 令人兴奋的, 刺激的
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
healthy,"a. 健康的, 有益健康的, 卫生的
"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
sad,"a. 忧愁的, 悲哀的"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
thirsty,"a. 口渴的, 渴望的, 干燥的"
tiny,"a. 很少的, 微小的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
arrive,"vi. 到达, 抵达"
be born, 出生于…; 落地; 诞; 下生
begin,"v. 开始
"
began,begin的过去式
grow up,"成熟, 成年, 发展, 逐渐形成"
grew up, grow up的过去式成长成熟
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
