identical,"a. 同一的, 恒等的, 完全相同的
"
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
glaring,"a. 闪耀的, 炫目的, 瞪视的"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
glossy,"a. 平滑的, 有光泽的"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
nourish,"vt. 滋养, 使健壮, 怀有"
nourishment,"n. 滋养品, 养料, 营养
"
nutrition,"n. 营养, 营养学
"
nutritious,"a. 滋养的, 营养的
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
malnutrition,"n. 营养失调, 营养不良
"
malnutritious,无
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
unassuming,"a. 谦逊的, 不装腔作势的"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumer,"n. 消费者
"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumably,"adv. 推测上, 大概"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
assumption,"n. 假定, 自负, 担任, 假装
"
consumption,"n. 消费, 消费量, 痨病
"
presumption,"n. 专横, 放肆, 假定, 推测
"
resumption,"n. 取回, 恢复, 再开始
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
encamp,"vi. 扎营, 露营
vt. 使宿营"
encampment,"n. 露营, 宿营"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
campus,"n. 校园, 大学生活"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
championship,"n. 冠军身份, 冠军称号, 捍卫"
mountain,"n. 山, 山脉, 大堆"
mountainous,"a. 多山的, 如山的, 巨大的"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
surmount,"vt. 战胜, 超越, 克服"
insurmountable,"a. 难以克服的, 不能超越的"
mound,"n. 土墩, 堤, 小山
vt. 筑堤, 用土堆防卫
vi. 积成堆"
prevent,"v. 预防, 防止, 阻止, 妨碍"
prevention,"n. 阻止, 妨碍, 预防
"
covenant,"n. 契约, 盟约
v. 立契约, 缔结盟约"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
convention,"n. 大会, 协定, 惯例, 约定
"
conventional,"a. 传统的, 习惯的, 约定的
"
intervene,"vi. 插入, 调停, 干涉
"
intervention,"n. 插入, 介入, 调停
"
interventionist,"n. 干涉主义者
a. 干涉主义的"
venue,"n. 犯罪地点, 审判地, 发生地点"
revenue,"n. 收入, 岁入, 税收, 税务局
"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
ventilation,"n. 通风, 空气流通, 公开讨论
"
ventilator,"n. 通风设备, 送风机, 换气扇
"
mutual,"a. 相互的, 共有的
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
commuter,"n. 乘公共车辆上下班者, 月季票乘客
"
commutation,"n. 交换, 变换, 代替
"
mutant,"n. 突变体
"
transmute,"vt. 使变形, 使变质
vi. 变形, 变质"
transmutation,"n. 变形, 变化, 演变
"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
prostate,"a. 前列腺的
n. 前列腺"
statue,"vt. 以雕像装饰
n. 雕像"
stature,"n. 身材, 身高, 高度
"
status,"n. 状态, 情形, 地位, 要人身份
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
estancia,n. 大牧场（拉丁美洲的）；大庄园（拉丁美洲的）
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
ecstatic,"n. 狂喜的人
a. 狂喜的"
ecstasy,"n. 狂喜, 心醉神迷, 忘形
"
thermostat,"n. 自动调温器, 温度自动启闭装置
"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
statutory,"a. 法令的, 法定的, 可依法惩处的
"
constitute,"vt. 构成, 组成, 任命
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
constituency,"n. 选民, 顾客, 读者
"
constitution,"n. 构成, 宪法, 体格
"
constitutional,"a. 宪法的, 立宪的, 体质的
"
destitute,"a. 穷困的, 缺乏的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
institutional,"a. 制度的, 公共机构的, 学会的
"
prostitute,"n. 妓女, 男娼
vt. 使沦为妓女
a. 卖淫的, 堕落的"
prostitution,"n. 卖淫, 糟蹋, 滥用
"
restitution,"n. 归还, 偿还, 赔偿
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
substitution,"n. 代替, 替换, 代替物
"
squirt,"v. 喷出, 溅迸, 注射
n. 水枪, 注射器, 喷出"
stark,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
stupendous,"a. 惊人的, 巨大的"
teeter,"vi. 步履不稳地走动, 踉跄, 摇晃, 摇摆不定, 摇摇欲坠, 玩跷跷板
n. 踉跄, 摇摆, 跷跷板"
tinge,"n. 色调, 色彩, 气味, 气息
vt. 染, 使带气息"
tongs,"n. 钳子, 夹具
"
turret,"n. 塔楼, 角楼, 攻城用仰冲车
"
velocity,"n. 速度, 迅速
"
verve,"n. 热情, 气魄, 神韵, 活力"
vial,"n. 小瓶
vt. 装入小瓶"
wanton,"n. 荡妇, 水性杨花的女人
a. 恶意的, 不负责任的, 无节制的, 嬉戏的, 繁茂的, 淫荡的
vi. 变化无常, 嬉戏, 闲荡, 放肆
vt. 挥霍"
wince,"n. 畏缩, 退避
vi. 畏缩, 退缩, 退避"
cashmere,"n. 开士米, 山羊绒
"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
clutter,"n. 杂乱
vt. 弄乱, 使凌乱"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
whiff,"n. 一吹, 一吸, 一阵, 一点点, 一口烟
vi. 轻轻地吹, 喷气, 三击不中出局, 垂钓
vt. 吹送, 喷出, 吸, 使三击不中出局"
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
chuck,"n. 抚弄, 赶走, 抛掷, 咯咯声, 颈肉, 卡盘
vt. 轻拍, 抛掷, 驱逐, 丢弃, 用卡盘夹住
vi. 咯咯叫"
demolish,"vt. 毁坏, 破坏, 粉碎"
eschew,"vt. 避开, 远避"
gruff,"a. 粗哑的, 粗鲁的, 粗率的, 板着脸孔的"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
mope,"vi. 忧郁, 闲荡
vt. 使忧郁
n. 忧郁的人"
pare,"vt. 剥, 削, 消减"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
swagger,"n. 大摇大摆, 吹牛, 妄自尊大, 威吓
vi. 虚张声势吓人, 大摇大摆, 吹牛
vt. 吓唬, 恫吓
a. 漂亮的, 时髦的"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
blare,"n. 巨响, 吼叫声, 光泽
vi. 高声鸣叫, 大叫
vt. 大声喊出"
chubby,a. 圆胖的
delve,"v. 探究, 查考
n. 坑, 穴"
erudite,"a. 博学的
n. 博学者"
forlorn,"a. 孤独的, 悲惨的, 凄凉的"
gruesome,"a. 可怕的, 令人毛骨悚然的, 阴森的"
latch,"n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
"
peek,"vi. 偷看, 窥视
n. 偷看, 看一眼"
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
snooty,"a. 傲慢的, 自大自满的, 鄙视别人的"
sundry,"a. 各式各样的
"
trundle,"n. 小车轮, 脚轮, 滚动
vi. 滚动, 移动, 投球
vt. 使滚动, 使移转"
bile,"n. 胆汁, 坏脾气, 暴躁
"
cholesterol,"n. 胆固醇
"
cholera,"n. 霍乱
"
delirious,"a. 神志昏迷的, 发狂的
"
epitomize,"vt. 摘要, 概括"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
rebuff,"n. 断然拒绝, 严厉拒绝, 漠不关心
vt. 严厉拒绝"
scoff,"n. 嘲笑, 愚弄, 笑柄, 食品
v. 嘲笑, 嘲弄, 贪吃, 狼吞虎咽地吃"
scoff,"n. 嘲笑, 愚弄, 笑柄, 食品
v. 嘲笑, 嘲弄, 贪吃, 狼吞虎咽地吃"
snicker,"n. 窃笑
vi. 窃笑
vt. 窃笑着说"
sumptuous,"a. 奢侈的, 华丽的"
truant,"n. 懒惰的人, 玩忽职守者, 旷课者
a. 偷懒的, 旷课的, 游荡的
vi. 偷懒, 旷课"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
corrosion,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
dissect,"v. 解剖, 切开"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
intersection,"n. 交集, 十字路口, 交叉点
"
sect,"n. 宗派, 教派"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extravagance,"n. 奢侈, 浪费, 放肆的言行"
vagabond,"n. 流浪者, 浪子, 流氓
vi. 到处流浪
a. 流浪的, 漂泊的, 浪荡的, 流浪者的"
vagrant,"n. 流浪汉, 漂泊者, 无赖
a. 漂泊的, 流浪的, 游荡的"
vague,"a. 含糊的, 不清楚的, 茫然的"
vaguely,"adv. 含糊地, 暧昧地"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
forceful,"a. 有力的, 强烈的, 有说服力的"
enforce,"vt. 强迫, 执行, 坚持
"
forcible,"a. 强制的, 强迫的, 有气力的
"
enforce,"vt. 强迫, 执行, 坚持
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
reinforcement,"n. 加强, 增援, 补充, 援军, 加固物
"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
forte,"n. 长处, 特长, 拿手, 优点"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
fortress,"n. 城堡, 要塞
vt. 筑要塞, 以要塞防守"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
regarding,prep. 关于
regardless,"a. 不管, 不注意, 不顾"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
warranty,"n. 正当理由, 授权, 担保, 保证, 根据
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
sacrament,"n. 圣礼, 圣事, 誓言
vt. 使立誓, 使宣誓"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
sacrilege,"n. 亵渎圣物, 冒渎, 渎圣行为
"
sacrilegious,"a. 冒渎的, 犯渎圣罪的"
saint,"n. 圣徒, 圣人
a. 神圣的
"
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
execrable,"a. 该咒的, 可憎恨的, 讨厌的"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
sanctify,"vt. 使神圣, 奉献给神, 使成为神圣之物"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
sanctum,"n. 圣所, 密室, 私室"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
willing,"a. 乐意的, 自愿的, 甘愿的"
unwilling,"a. 不愿意的, 勉强的
"
self-willed,"a. 任性的, 顽固的"
volition,"n. 行使意志, 意志力, 决定"
volitional,"a. 意志的, 凭意志的"
benevolence,"n. 善意, 慈悲, 善行
"
benevolent,"a. 善意的, 慈善的"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
involuntary,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
adapt,"vt. 使适应, 改编
vi. 适应"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adaptation,"n. 适应, 改编, 改编本
"
adoption,"n. 采用, 采纳, 收养
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
aptitude,"n. 资质, 才能, 自然倾向
"
opt,vi. 选择
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
inept,"a. 不适当的, 不理智的, 笨拙的
"
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
optimal,"a. 最佳的, 最理想的
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
optimize,"vt. 使完美, 使完善, 充分利用, 乐观地对待, 优化
vi. 持乐观态度
"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimist,"n. 乐观者, 乐观主义者"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
accentuate,"vt. 以重音念, 强调, 重读"
incentive,"n. 动机
a. 激励的"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
enchant,"vt. 施魔法, 使入迷"
disenchant,vt. 使清醒
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
intercourse,"n. 交往, 交流
"
recourse,"n. 求援, 求助, 追索权
"
courier,"n. 送快信的人, 伴游服务员
"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
succor,"n. 救援, 援助者
vt. 救援, 援助"
succour,"n. 解救, 援助者
vt. 解救, 援助"
cursor,"n. 游标, 光标
"
cursive,"a. 草书的, 草书体的
n. 草书, 草书原稿"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
incursion,"n. 侵入, 侵略, 奇袭"
excursion,"n. 远足, 游览圆, 短程旅行
"
curriculum,"n. 课程
"
curricular,a. 课程的
extracurricular,"a. 课外的, 业余的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
currently,"adv. 现在, 当前, 一般, 普通
"
currency,"n. 货币, 通货, 流通, 通用
"
incur,"vt. 招致, 蒙受, 遭遇
"
occur,"vi. 发生, 被想到, 存在"
occurrence,"n. 发生, 事件, 出现
"
concur,"vi. 同意, 一致, 同时发生
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
recurrence,"n. 再现, 再发生, 反复, 循环
"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
rapprochement,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
proximate,"a. 最近的, 将临的, 近似的
"
proximity,"n. 接近, 亲近"
bladder,"n. 膀胱, 囊
"
delicatessen,n. 熟食店
epitaph,"n. 墓志铭, 碑文"
forensic,"a. 辩论的, 法院的, 关于法庭的
n. 辩论练习"
grovel,"vi. 趴, 匍匐, 卑躬屈膝"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
larynx,"n. 喉头
"
montage,"n. 混合画, 画面剪辑, 蒙太奇"
peat,"n. 泥煤, 泥炭色
"
ravish,"vt. 强夺, 夺走, 使出神, 强奸
"
scintillation,"[医] 闪烁[现象], 光闪视"
sultry,"a. 闷热的, 粗暴的, 放荡的, 激烈的"
trout,n. 鲑鱼
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
bitch,"n. 母狗；泼妇；讨厌的女人；棘手的事
v. 挖苦；（尤指背后）说坏话"
chloroplast,"n. 叶绿体
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
ford,"n. 浅滩, 福特汽车
v. 涉过, 涉水"
grove,n. 小树林
hotchpotch,"n. 什锦浓汤, 杂烩
"
larva,"n. 幼虫
"
monsoon,"n. 季风, 吹季风的季节, 雨季"
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
ravine,"n. 峡谷, 冲沟, 溪谷"
schizophrenia,"n. 精神分裂症
"
snare,"n. 陷阱, 诱惑, 圈套
vt. 以陷阱捕获, 诱惑"
sully,"vt. 玷污, 弄脏
n. 污点, 脏污"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
Zionism,n. 犹太复国主义
chirp,"n. 喳喳声, 唧唧声
v. 吱喳而鸣"
deify,"vt. 奉为神, 奉若神明, 崇拜"
deity,"n. 神, 神性"
enzyme,"n. 酶
"
forceps,"n. 镊子, 钳子, 钳子状器官
"
grotesque,"n. 奇异风格, 怪异图案
a. 奇怪的, 可笑的"
hosiery,"n. 袜, 内衣裤"
lark,"n. 云雀, 百灵鸟, 欢乐, 嬉耍
vi. 嬉耍, 骑马玩乐
vt. 愚弄"
mollify,"vt. 平息, 缓和, 减轻, 使变软"
patter,"n. 急速拍打声, 轻快脚步声, 行话, 快板, 饶舌
vi. 急速地说, 滴答地响, 祷告, 念经, 念顺口溜
vt. 使发嗒嗒声, 喋喋不休地说"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
scathing,"a. 伤害的, 损伤的, 严厉的"
snag,"n. (尖利的)突出物, (衣服等的)戳破处, 断牙, 意外障碍
vt. 造成阻碍, 抓住机会, 抢到, 清除障碍物"
strangle,"vt. 勒死, 扼死, 压制, 使窒息, 抑制
vi. 被扼死, 被绞死, 窒息而死"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
trounce,"vt. 痛打, 严惩"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
chimpanzee,"n. 黑猩猩
"
entity,"n. 实体, 实存物, 存在
"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
molest,"vt. 妨碍, 干扰, 调戏
"
patio,n. 屋子与花园之间的一片供晴天休息用的石砌空地
rasp,"n. 粗锉刀, 刺耳声
vt. 用粗锉刀锉, 粗声粗气地说
vi. 粗锉, 锉磨, 发刺耳声"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
trough,"n. 槽, 水槽, 饲料槽
"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
binge,"n. 狂闹, 狂欢"
chime,"n. 钟声, 钟, 和谐
vi. 鸣, 奏出谐和的乐声, 和谐
vt. 敲出和谐的声音, 打钟报时, 重复说"
deft,"a. 敏捷熟练的, 灵巧的"
entice,"vt. 诱骗, 引诱, 怂恿"
font,"n. 字体, 字形, 洗礼盘, 泉
"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
moat,"n. 壕沟, 护城河
vt. 将...围以壕沟"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
smug,"a. 自以为是的, 自鸣得意的, 整洁的
n. 书呆子, 自命不凡的家伙"
succulent,"a. 多汁的, 多水分的
"
trot,"n. 快步
vi. 快步走, 小跑
vt. 使小跑, 策马小跑"
zenith,n. 顶点；最高点；顶峰
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
blend,"vt. 混合
n. 混合"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
flounder,"vi. 挣扎, 折腾；错乱地做事或说话"
blanch,"vt. 漂白, 使变白
vi. 发白"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
ablaze,"a. 着火的, 闪亮的, 激昂的
adv. 着火, 闪耀"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
blunt,"a. 钝的, 坦率的, 麻痹的"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
clarity,"n. 清楚, 明晰
"
declare,"v. 宣布, 声明, 申报, 断言"
declaration,"n. 宣告, 说明, 宣布
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
correction,"n. 订正, 改正, 改正的地方
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
rectification,"n. 改正, 矫正, 整流
"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
criticism,"n. 批评, 评论, 非难
"
criticize,"v. 批评, 吹毛求疵, 非难"
criterion,"n. 标准, 准则, 规范
"
hypocrite,"n. 伪君子, 伪善者"
hypocritical,"a. 伪善的, 伪善者的"
hypocrisy,"n. 伪善
"
critique,"n. 评论文章, 评论"
democracy,"n. 民主政治, 民主主义
"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
democratic,"a. 民主的
"
demagog,"n. 煽动者, 蛊惑人心的政客
"
demagogue,n. 煽动者
demagogy,"n. 煽动, 蛊惑民心的宣传
"
demography,"n. 人口统计学
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
aristocrat,n. 贵族
eminent,"a. 显赫的, 杰出的, 有名的"
eminence,"n. 显赫, 名家, 高处
"
imminent,"a. 即将来临的, 逼近的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
distract,"vt. 转移, 分心, 使发狂"
distraction,"n. 娱乐, 分心的事物, 分心
"
