fourteenth,"num. 第十四, 十四分之一"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
behind,"adv. 在后地
prep. 在...背后"
English,[网络] 英语
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
cream,"n. 乳酪, 奶油, 面霜
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
July,n. 七月
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
hen,"n. 母鸡, 雌禽"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
symbol,"n. 符号, 象征, 代号, 信条
"
fifteenth,"num. 第十五, 十五分之一"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
friendship,"n. 友谊, 友爱, 友善"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
math,n. 数学
maths,n. 数学
Friday,n. 星期五
eat,"v. 吃, 腐蚀"
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
indoors,adv. 在户内
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
teen,"n. 愤怒, 悲哀"
it,"pron. 它
"
dessert,n. 餐后甜点
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
three,"num. 三, 三个"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
eighth,"num. 第八, 八分之一"
such,"a. 如此的, 这样的"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
also,"adv. 也, 并且, 同样地"
method,"n. 方法, 办法, 条理, 秩序
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
perhaps,"adv. 也许, 大概"
huge,"a. 极大的, 巨大的, 无限的"
degree,"n. 程度, 度数, 学位, 度
"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
pretend,"v. 假装, 伪称, 自命, 自称"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
homeless,"a. 无家的, 无养主的"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
brother,n. 兄弟
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
son,"n. 儿子, 女婿, 子孙
"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
hardly,"adv. 刚刚, 几乎不, 勉强是"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
raincoat,n. 雨衣
yin,n. 中国思想里的“阴”（与“阳”相对）；中国的殷代；（苏格兰）一个（等于one）
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
medal,"n. 奖牌, 勋章
vt. 授勋予"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
singer,n. 歌手
hello,"interj. 喂, 嘿"
nine,"num. 九, 九个"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
creature,"n. 人, 动物, 创造物, 生物"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
southeast,"n. 东南, 东南地区
a. 东南的, 向东南的, 来自东南的
adv. 往东南, 来自东南"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
ton,"n. 吨
"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
tiger,"n. 老虎, 虎, 凶暴的人"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
amazing,a. 令人惊异的
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
helpful,"a. 有帮助的, 有益的, 有用的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
thirteen,"num. 十三, 十三个"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
hospital,"n. 医院
"
person,"n. 人, 人身, 人称
"
aloud,"adv. 出声地, 大声地"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
wife,"n. 妻子, 太太, 夫人
"
four,"num. 四, 四个
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
lamp,"n. 灯
vt. 照亮
"
western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
Internet,[网络] 互联网；因特网；网际网路
chocolate,"n. 巧克力
a. 巧克力制的"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
kitchen,"n. 厨房, 全套炊具
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
while,"n. 一会儿, (一段)时间
conj. 当...的时候, 虽然
vt. 消磨"
eight,"num. 八, 八个"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
mystery,"n. 秘密, 神秘, 奥秘"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
something,"pron. 某事, 某物"
already,"adv. 已经, 早已"
potato,n. 马铃薯
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
arrive,"vi. 到达, 抵达"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
laboratory,"n. 实验室, 研究室, 化工厂
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
chess,"n. 国际象棋
"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
themselves,"pron. 他们自己, 她们自己, 它们自己"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
unfamiliar,a. 不熟悉的
village,"n. 村庄
a. 乡村的, 村庄的"
sofa,n. 沙发
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
examine,"v. 检查, 调查, 考试"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
necessary,a. 必要的；必然的；必需的
shirt,"n. 衬衫, 内衣, 汗衫"
eraser,n. 擦子
pond,"n. 池塘
v. 筑成池塘"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
bamboo,"n. 竹子
"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
may,"n. 五月
aux. 愿能, 可以, 愿意"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
music,"n. 音乐, 乐曲"
anywhere,adv. 无论何处
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
unable,"a. 不能的, 不会的
"
forest,"n. 森林, 林区
vt. 植树于"
embarrassed,a. 尴尬的；窘迫的
morning,"n. 早晨, 早上, 初期"
beautiful,a. 美丽的
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
etiquette,"n. 礼仪, 礼节, 成规
"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
always,"adv. 总是, 始终"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
family,"n. 家庭, 家人, 族
a. 家庭的"
lunch,n. 午餐
gentleman,"n. 绅士, 先生"
himself,"pron. 他自己, 他亲自"
who,pron. 谁
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
disabled,"a. 残废的, 有缺陷的, 失效的
"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
expect,"vt. 预期, 盼望, 期待"
pair,"n. 一双, 一对, 一副
v. (使)成对"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
video,"n. 影像, 电视
a. 图像的, 电视的"
semester,n. 学期
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
theme,"n. 主题, 话题, 题目"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
noodle,"n. 面条, 笨蛋"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
lifestyle,n. 生活方式
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
excellent,"a. 优良的, 杰出的, 出色的"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
society,n. 社会；社交界；交往；社团
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
predict,"v. 预知, 预言, 预报"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
although,"conj. 虽然, 尽管"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
porridge,"n. 粥, 糊"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
whenever,"conj. 每当
adv. 不论何时, 每逢"
yang,n. 杨（姓氏）
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
dumpling,"n. 面团布丁, 团子"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
traditional,"a. 传统的, 惯例的
"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
shelf,"n. 架子, 搁板
"
homework,"n. 家庭作业, 家里做的工作
"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
bus,"n. 公共汽车
"
museum,n. 博物馆
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
cinema,"n. 电影院, 电影"
violin,n. 小提琴
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
teacher,"n. 教师, 老师, 导师"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
wallet,"n. 皮夹
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
Europe,n. 欧洲
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
shall,aux. 将
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
European,"n. 欧洲人
a. 欧洲的, 欧洲人的"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
