fabled,"a. 寓言(或传说、神话)中的, 虚构的"
decency,"n. 得体, 礼貌, 正派
"
sociology,"n. 社会学
"
exclusive,"a. 排外的, 独占的, 唯一的
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
dishonor,"n. 不名誉
vt. 玷辱, 使蒙羞"
whatnot,n. 放古董的架子
assert,"vt. 主张, 坚称, 断言
"
lamely,"adv. 一瘸一拐地, 不完全地"
enviously,adv. 羡慕地
well-born, 出身高贵的；出身名门的
Athenian,"n. 雅典人
a. 雅典的, 雅典人的"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
pedagogical,"a. 教师的, 教学法的, 适宜于教师的"
disciple,"n. 弟子, 门徒"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
enchantment,"n. 魔法, 妖术, 魅力"
intellect,"n. 智力, 出众的才华, 知识分子
"
principally,"adv. 主要地, 大部分"
Christianity,"n. 基督教, 基督教精神"
alienate,"vt. 使疏远, 离间, 转让
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
prestige,"n. 声望, 威望, 威信
"
demean,"vt. 贬低身分, 贬损"
overtone,"n. 泛音, 暗示, 弦外之音, 折光的色彩
"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
Protestant,"n. 新教徒
a. 新教的, 新教徒的"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
pagan,"n. 异教徒, 无宗教信仰者
a. 异教的, 异教徒的"
detriment,"n. 损害, 损害物
"
throes,"n. 阵痛, 临死的苦痛, 垂死的挣扎, 剧痛, 痛苦, 苦闷, 苦难, 艰苦的奋斗"
narcissism,"n. 自我陶醉, 自恋
"
immaturity,"n. 发育未全, 发育未完全, 不成熟, 未成熟, 未完成, 不完全, 粗糙, 幼年, 未成年
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
idealization,"n. 理想化, 理想化事物
"
waistline,"n. 腰围
"
complexion,"n. 肤色, 情况, 局面
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
muster,"n. 召集, 集合, 检阅, 清单, 花名册, 样品
vt. 召集, 集合, 应召
vi. 集合, 集中"
wanting,"a. 欠缺的, 不足的, 不够格的
prep. 没有, 缺少"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
dissect,"v. 解剖, 切开"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
mole,"n. 痣, 鼹鼠, 防波堤, 摩尔, 克分子
"
depreciation,"n. 价值减低, 减价, 跌落, 贬低, 折旧
"
lamentable,"a. 可悲的, 哀伤的, 可怜的"
negate,"vt. 否定, 否认, 取消
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
censure,"n. 责难
vt. 非难, 指责"
preen,"vt. 用嘴整理, 打扮, 使得意
vi. 打扮漂亮, 感到得意"
interminable,"a. 无限的, 冗长的"
disparage,"vt. 蔑视, 贬损
"
adorable,"a. 可崇拜的, 值得敬慕的, 可爱的"
prop,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨
vt. 支撑, 维持"
mythology,n. 神话
agonize,"vt. 使极度痛苦, 折磨
vi. 感到痛苦"
sideburn, 鬓角
sartorial,"a. 裁缝匠的, 缝工的, 裁缝的"
variation,"n. 变更, 变化, 变种, 变奏
"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
absorbing,"a. 吸引人的, 非常有趣的
"
slacks,"n. 宽松的裤子, 便裤"
momentous,"a. 重大的, 重要的"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
shun,"vt. 避开, 规避, 避免"
oxford-cloth," 牛津布（厚棉布, 主要做衬衫用）"
mystify,"vt. 使神秘化, 使难解, 迷惑
"
ferocity,"n. 凶猛, 残忍, 狂暴的行为"
padding,"n. 垫充, 垫塞, 填料, 废话, 虚报的费用
"
cuff,"n. 袖口, 一巴掌
vt. 用巴掌打
vi. 殴斗"
connote,"vt. 含蓄着, 内涵着, 意味着"
bonding,"n. 结合, 屏蔽接地, 搭接
"
hindrance,"n. 妨害, 障碍, 阻碍物"
erupt,"vi. 爆发
vt. 喷出"
accelerate,"v. 加速, 促进"
disconcerting,"a. 困惑的, 不安的, 尴尬的
v. 使不安( disconcert的现在分词); 使为难; 使慌张; 使窘迫"
discomfiture,"n. 失败, 狼狈, 困窘, 挫败, 败北"
conspicuous,"a. 显著的, 显眼的, 出众的"
turtleneck,"n. 圆翻领, 高翻领毛衣"
bell-bottom,[网络] 喇叭裤脚；喇叭脚口；喇叭裤脚网络英语资源
comfy,"a. 舒服的,轻松的"
anonymity,"n. 匿名, 姓氏不明
"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
unliberated,adj. （妇女）未经解放的
plumage,n. 鸟类羽毛
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
overriding,"[医] [骨折端]重迭, 架迭"
ruffled,a. 有褶饰边的；气恼的
bifurcated,"a. 分为两部分
v. （指道路、河流、树枝等）分岔, 分成两支( bifurcate的过去式和过去分词 ); 使分枝, 使分叉"
gaudy,"a. 俗丽的, 华而不实的
n. 盛大宴会"
trimming,"n. 整理, 修剪, 装饰, 点缀物, 装饰物, 修剪下来的东西, 诈骗, 击败, 殴打
"
exemption,"n. 解除, 免除, 免税
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
incur,"vt. 招致, 蒙受, 遭遇
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
blatantly,adv. 喧闹地；公然地；看穿了地
dandy,"n. 花花公子
a. 服装浮华的, 极好的"
finery,"n. (华丽的)装饰, (华丽的)服饰, 鲜艳服装, 幽雅, 精炼炉
"
covertly,adv. 偷偷摸摸地；秘密地
rule out,"na. 排除
"
trinket,"n. 小件饰物, 无价值的琐碎东西, 小玩意儿"
catch on,"变得流行, 理解, 明白"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
combatant,"n. 争斗者, 格斗者
"
duellum,无
bellum,[法] 国与国间的战争
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
legion,"n. 军团, 军队, 众多的人"
Myrmidon,"n. 家仆, 部下, 跟班"
vale,"n. 谷, 溪谷, 告别
interj. 再见"
woodyard,n. 堆木场
strew,"vt. 散播, 撒满"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
internecine,"a. 互相残杀的, 两败俱伤的, 致命的
"
resolutely,adv. 坚决地；毅然地
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
tumbling,"n. 摔跤, 翻筋斗
a. 斜的"
gnaw,"v. 咬, 啃, 侵蚀, 消耗, 折磨"
feeler,"n. 触角, 试探者, 试探手段"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
divest,"vt. 使摆脱, 使脱去, 夺去
"
member,"n. 成员, 会员
"
pertinacity,"n. 执拗, 顽固, 顽强, (疾病的)难治"
bulldog,n. 喇叭狗
battle-cry,"呐喊, 战斗口号"
dispatch,"vt. 派遣
n. 派遣, 急件
"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
perchance,"adv. 偶然, 恐怕, 间或"
nourish,"vt. 滋养, 使健壮, 怀有"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
avenge,"vt. 为...报复, 报仇"
commence,"v. (使)开始, 得学位"
foreleg,"n. 前腿, 前脚"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
heroism,"n. 英勇, 勇敢事迹, 豪侠行为"
carnage,"n. 大屠杀, 残杀"
hireling,"n. 雇工, 可被雇用者, 佣工, 雇员
a. 被雇用的"
windowsill,n. 窗台
assiduously,adv. 刻苦地；勤勉地
vitals,"n. 重要器官, 要害, 命脉
"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
breastplate,"n. 护胸甲, 腹甲, 胸革带"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
carbuncle,"n. 痈, 红玉, 红榴石
"
ghastly,"a. 可怕的, 惨白的, 极坏的
adv. 可怖地, 惨白地"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
saddle-bow,"na. 鞍的前穹；鞍的后穹
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
circumstantial,a. 依照情况的
obstinacy,"n. 倔强, 顽固, 固执行为, (疼痛等)难治"
pontificate,"vi. 自负地谈论, 执行教皇职务"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
brat,"n. 乳臭未干的小孩, 小孩
"
kit,"n. 装备, 工具箱, 成套工具
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
byword,"n. 谚语, 俗话, 笑柄"
pampered,"a. 饮食过量的, 饮食奢侈的
v. 纵容, 宠, 娇养( pamper的过去式和过去分词 )"
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
pushover,"n. 容易做的工作, 易被劝服的人, 易被击败的人"
parenting,n. 父母对子女的养育
disservice,"n. 伤害, 帮倒忙的行为"
disciplinarian,"a. 惩戒性的, 纪律的
n. 执行纪律者, 厉行纪律的人"
underage,"a. 未成年的, 未及法定年龄的
n. 缺乏, 不足"
despot,"n. 专制君主, 暴君
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
tantrum,"n. 发脾气, 发怒
"
lackey,"n. 仆人, 侍从, 马屁精
vt. 服侍, 侍候, 奉承"
livid,"a. 铁青的
"
perverse,"a. 乖张的, 故意作对的, 有悖常情的, 执迷不悟的, 歪曲的, 错误的, 不正当的
"
procreate,"vt. 生, 生殖, 产生
vi. 生殖"
empathize,"[医] 移情, 神入"
flipside,n. 另一面；反面
stroppy,"a. 蛮横的, 刁蛮的"
assuage,"vt. 平息, 缓和, 减轻"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
disposable,"a. 可任意处理的
"
outsource,vt. 把…外包
fallout,"n. 原子尘的降下, 辐射性微尘, 原子尘, 附带结果
"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
terminally,"adv. 在末端, 末尾, 每期"
self-absorbed, 专顾自己的
cashmere,"n. 开士米, 山羊绒
"
whizzy,a. 采用最新技术的
