feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
might,"n. 力量, 权力
aux. 可能, 也许"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
penguin,"n. 企鹅, 空军地勤人员"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
tiny,"a. 很少的, 微小的"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
quite,"adv. 相当, 完全, 十分"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
loudly,"adv. 高声地, 大声地, 吵闹地"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
southern,"n. 南方人, 男风
a. 向南方的, 来自南方的"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
cruel,"a. 残酷的, 令人极痛苦的
"
salad,n. 色拉
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
man-made,人造的
spaceship,n. 宇宙飞船
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
stupid,"a. 愚蠢的, 麻木的"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
useful,"a. 有用的, 有益的
"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
role,"n. 角色, 职责, 任务
"
confident,"a. 有信心的, 有把握的"
disappearance,"n. 看不见, 失踪, 消失"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
cookie,"n. 饼干, 小甜点
"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
striker,"n. 打击者, 罢工者
"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
sleepy,"a. 困乏的, 欲睡的"
connect,"v. 连接, 联合, 联系"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
passenger,"n. 乘客, 旅客
"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
electronic,"a. 电子的
"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
among,prep. 在...之中
remain,"vi. 保持, 逗留, 剩余
"
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气
a. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的
vt. 宠爱, 溺爱, 抚摸
vi. 拥抱, 爱抚, 生气, 发脾气"
stairs,n. 楼梯
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
environment,"n. 环境, 外界, 围绕
"
office,"n. 办公室, 部, 公职, 职责
"
ice-cream,"冰淇淋
"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
railway,"n. 铁路, 轨道
"
opera,n. 歌剧
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
similar,"a. 相似的, 类似的
n. 相似的东西"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
dictionary,"n. 字典, 词典
"
amaze,vt. 使吃惊
injection,"n. 注射, 注射剂
"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
traditional,"a. 传统的, 惯例的
"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
lamp,"n. 灯
vt. 照亮
"
afford,"vt. 买得起, 足以, 给予"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
unless,"conj. 除非
prep. 除...之外"
usual,"a. 平常的, 通常的"
ability,"n. 能力, 才干
"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
magical,"a. 魔术的, 有魔力的, 不可思议的"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
communication,"n. 交流, 交通, 通讯
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
introduction,"n. 介绍, 传入, 采用, 初步"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
depend,"vi. 靠, 视...而定, 信赖"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
gentleman,"n. 绅士, 先生"
turning,"n. 旋转, 转弯处, 车削工作
"
colourful,"a. 颜色丰富的, 鲜艳的, 艳丽的, 多色的, 丰富多彩的, 吸引人的, 引人入胜的
"
rainy,"a. 下雨的, 多雨的"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
ceiling,"n. 天花板
"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
pear,"n. 梨子, 梨树, 梨木
"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
protect,"vt. 防卫, 保护, 警戒
"
helpful,"a. 有帮助的, 有益的, 有用的"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
beginning,n. 开始
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
forever,adv. 永远
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
hall,"n. 门厅, 走廊, 会堂"
brain,"n. 脑
vt. 打碎脑部"
discuss,"vt. 讨论, 论述
"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
appear,"vi. 出现, 显得, 来到
"
beach,n. 海滩
common,"a. 通常的, 共同的, 通俗的, 公共的
"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
recent,"a. 最近的, 近代的, 最新的
"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
complain,"v. 抱怨, 抗议, 控诉"
eve,"n. 前夕, 前夜"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
doorbell,n. 门铃
computer,"n. 电脑, 电子计算机
"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
contribution,"n. 捐助, 捐助之物, 贡献
"
downstairs,"n. 楼下
a. 楼下的
adv. 在楼下"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
doll,"n. 洋娃娃, 无头脑的美丽女人"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
immediately,"adv. 直接地, 立刻, 立即"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
politely,"adv. 有礼貌地, 文雅地, 客气地"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置
a. 单位的, 单元的
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
tired,"a. 疲累的, 疲乏的, 厌倦的"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
include,"vt. 包括, 把...算入, 包住
"
closed,"a. 关闭的, 限于少数人的
"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
vacation,"n. 假期, 休假
"
believe,v. 相信
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
foggy,"a. 雾深的, 模糊的"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
behaviour,"n. 行为, 举止
"
lovely,"a. 可爱的, 有趣的"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
ant,n. 蚂蚁
silence,"n. 沉默, 无声, 静寂, 湮没, 无声息
vt. 使缄默
interj. 安静"
could,"aux. 可以, 能"
treatment,"n. 治疗, 待遇, 处理
"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
goodness,"n. 仁慈, 善良"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
earthquake,n. 地震
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
sausage,"n. 香肠, 腊肠"
million,"n. 百万, 无数
num. 百万"
postcard,n. 明信片
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
invention,"n. 发明, 创作能力, 虚构的故事
"
dinosaur,n. 恐龙
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
consider,"v. 考虑, 思考, 认为"
butterfly,"n. 蝴蝶
"
postal,"a. 邮政的, 邮局的
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
frustrated,"a. 失意的, 挫败的；泄气的"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
excellent,"a. 优良的, 杰出的, 出色的"
smog,"n. 烟雾
"
knowledge,"n. 知识, 学问, 认识, 知道"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
library,"n. 图书馆, 藏书, 库
"
multiply,"v. 繁殖, 乘, 增加
"
overcoat,n. 外套大衣
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
lively,"a. 活泼的, 鲜明的, 生动的"
electric,"a. 电的, 导电的, 电动的
"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
college,"n. 学院, 大学, 学会"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
strawberry,n. 草莓
mainland,"n. 大陆, 本土
"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
background,"n. 背景, 背景资料
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
violin,n. 小提琴
international,"a. 国际的
n. 国别设定
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
nervous,"a. 神经紧张的, 不安的, 神经的
"
kilogramme,"n. 公斤, 千克"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
soup,"n. 汤, 马力
vt. 加速, 增加马力"
grape,"n. 葡萄, 葡萄树
"
prisoner,"n. 囚犯, 犯人, 战俘
"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
direction,"n. 方向, 指导, 趋势
"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
invent,"vt. 发明, 创作, 虚构
"
angel,"n. 天使, 守护神, 善人"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
seem,"vi. 象是, 似乎"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
postman,"n. 邮递员
"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
future,"n. 未来, 将来
a. 将来的, 未来的"
supermarket,"n. 超级市场
"
website,n. 网站（全球资讯网的主机站）
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
enjoy,"vt. 享受, 喜欢, 欣赏
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
terrific,"a. 非常好的, 极端的, 可怕的"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
giraffe,"n. 长颈鹿, 鹿豹座"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
drawer,"n. 抽屉, 开票人
"
chart,"n. 图表, 海图
vt. 制成图表
"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
especially,"adv. 尤其, 特别, 格外"
frog,"n. 青蛙
"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
