a,"第一个字母 A; 一个; 第一的
art. "
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
happen,"vi. 发生, 发生, 恰巧"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
incredible,a. 难以置信的
insect,"n. 昆虫, 卑鄙的人
"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
karaoke,"n. 卡拉OK；卡拉OK录音, 自动伴奏录音"
last night,昨晚
last Saturday, 上星期六
last weekend,[网络] 上周末；上个周末；上一个周末
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
luggage,"n. 行李, 皮箱"
make a phone call,[网络] 打电话；打个电话；打电话号码
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
passport,"n. 护照, 手段, 通行证
"
photocopy,"n. 影印, 复印件
v. 影印"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take a day off,请一天假
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
terrific,"a. 非常好的, 极端的, 可怕的"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
tourist,"n. 观光客, 旅行者
a. 旅游的"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
unfortunately,"adv. 恐怕, 不幸的是"
vacation,"n. 假期, 休假
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
advertisement,"n. 广告, 启事, 广告宣传
"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
amusement park,公共游乐场
animal,"n. 动物
"
apartment,"n. 房间, 公寓"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
available,"a. 可利用的, 可获得的, 有效的
"
avenue,"n. 大街, 途径, 林荫路"
bank,"n. 银行, 堤, 岸
"
barber shop,理发店
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
bedroom,n. 卧室
behind,"adv. 在后地
prep. 在...背后"
botanical garden,植物园
campus,"n. 校园, 大学生活"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
cleanliness,"n. 清洁, 干净"
close to,"接近于, 靠近于"
clothing store, 服装商店
complaint,"n. 诉苦, 抱怨, 控诉
"
convenient,"a. 方便的, 合宜的
"
crime,"n. 犯罪, 罪行, 罪恶
"
department store,"百货公司
"
drugstore,"n. 药房, 杂货店"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
everywhere,"adv. 各处, 到处"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
garbage,"n. 垃圾, 废物
"
gas station,加油站
grocery store,"[经] 杂货店, 食品店"
haircut,"n. 理发, (男子的)发式"
hold on,"继续, 不挂断, 停止"
ice-skating rink,[网络] 溜冰场；室内溜冰场；冰宫
in back of,在…后面
in fact,"事实上
"
in front of,在...前面
Internet cafe,[网络] 网吧；网咖；一家网吧
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
laundromat,"n. 自助洗衣店, 自动洗衣店"
library,"n. 图书馆, 藏书, 库
"
look for,"寻找, 期待"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
movie theater,电影院
museum,n. 博物馆
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
next to,几乎
of course,当然
on the corner of,[网络] 拐角处；在……的拐角处；在…的角落
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
parking,"n. 停车
a. 停车的"
pay phone,自动收费的公用电话
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气
a. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的
vt. 宠爱, 溺爱, 抚摸
vi. 拥抱, 爱抚, 生气, 发脾气"
pollution,"n. 污染, 玷污
"
post office,"邮局
"
privacy,"n. 隐私, 隐居, 秘密
"
roommate,n. 住在同室的人
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
shopping center,"购物中心, 商业区
"
skateboard,n. 溜冰板
stationery store,n. 文具店
swimming pool,n. 游泳池
transportation,"n. 运输, 输送, 交通车辆
"
travel agency,"旅行社
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
video arcade,n. 电子游戏室
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
yard,"n. 码, 庭院, 工场
"
youth center,青年中心
zoo,n. 动物园
airport,"n. 飞机场
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
blond,"a. 金发的
n. 白肤碧眼金发的人"
boyfriend,n. 男朋友
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
centimeter,"n. 厘米
"
contact lenses,n. 隐形眼镜; 接触镜，隐形镜( contact lens的名词复数 )
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
curly,"a. 拳曲的, 卷毛的, 弯曲的"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
describe,"vt. 描述, 描绘, 画"
elderly,"a. 过了中年的, 稍老的"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
fashion model, 时装模特儿；服装模特
funky,"a. 畏缩的, 怯懦的, 恶臭的"
girlfriend,n. 女朋友
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
good-looking,"貌美的,漂亮的"
gorgeous,"a. 华丽的, 灿烂的"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
height,"n. 高度, 海拔, 高地, 顶点
"
length,"n. 长度, 长, 期间, 一段
"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
middle-aged, 中年
mustache,"n. 髭, 胡子"
quite,"adv. 相当, 完全, 十分"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
appointment,"n. 约会, 委任的职位, 委派
"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
camel,"n. 骆驼, 打捞浮筒"
cheese,"n. 乳酪
"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
curry,"n. 咖哩粉, 咖哩饭菜
vt. 用咖哩粉调味, 用马梳梳, 制革"
decide,"v. 决定, 判决"
dictionary,"n. 字典, 词典
"
easygoing,"a. 脾气随和的, 逍遥自在的, 悠闲的, 懒散的"
elementary school,小学
engaged,"a. 忙碌的, 使用中的"
hairstyle,n. 发型
herbal tea, [医]凉茶
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
lately,"adv. 近来, 最近"
latest,a. 最近的
lifestyle,n. 生活方式
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
recently,adv. 最近
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
riverboat,n. 江河中行驶的船
several,"a. 几个的, 一些的, 各自的
pron. 几个"
streetcar,n. 有轨电车
take-out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
teenager,n. 十三岁到十九岁的少年
traffic ticket,[法] 对汽车驾驶员违反交通规则的传票
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
beach,n. 海滩
crowded,"a. 拥挤的, 塞满的"
definitely,"adv. 明确无疑地, 清楚地"
delicious,a. 美味的
efficient,"a. 有效率的, 能干的"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
extremely,"adv. 极端地, 非常地"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
historical,"a. 历史的, 史实的, 历史上的
"
hometown,"n. 故乡, 家乡"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
inexpensive,"a. 便宜的, 不贵重的"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
maybe,"adv. 也许, 大概
n. 可能性"
nightclub,n. 夜总会
noisy,"a. 嘈杂的, 喧闹的
"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
pollute,"vt. 污染, 弄脏, 玷污
"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
relaxing,a. 令人轻松的
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
scenery,"n. 风景, 景色, 舞台布景"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
souvenir,n. 纪念品
stressful,"a. 着重, 强调, 重读, 使受应力"
subway,"n. 地铁, 地道
vi. 乘地铁"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
supermarket,"n. 超级市场
"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
visitor,"n. 参观者, 游客, 访客
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
aisle,"n. 走廊, 侧廊, 过道
"
aspirin,"n. 阿斯匹林
"
backache,n. 背痛
bandage,"n. 绷带
"
bath,"n. 沐浴, 浴室
"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
breath mint,无
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
chicken stock,鸡汤
chop up, 剁碎; 割断
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
dentist,"n. 牙科医生
"
deodorant,"n. 除臭药, 防臭剂
a. 止臭的, 防臭的"
energy,"n. 精力, 精神, 活力, 能量
"
face cream, 面霜
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
fever,"n. 发烧, 发热, 热病
"
flu,"n. 流感, 流行性感冒"
garlic,"n. 大蒜
"
headache,"n. 头痛, 令人头痛之事
"
heating pad,[电] 加热垫
helpful,"a. 有帮助的, 有益的, 有用的"
hiccup,"n. 打嗝
v. 打嗝"
homesick,"a. 思家的, 思乡病的"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
insomnia,"n. 失眠症
"
itchy,"a. 渴望的, 痒的, 生疥疮的"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
jet lag,"n. 飞行时差反应, 时差感"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
lotion,"n. 洗液
"
mosquito,"n. 蚊子
"
muscle,"n. 肌肉, 臂力
"
ointment,"n. 软膏, 油膏
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
shaving cream,"n. 刮胡膏, 剃须膏"
sneeze,"n. 喷嚏
vi. 打喷嚏"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
stomachache,"n. 胃痛, 肚子痛"
stressed,a. 感到有压力的；紧张的
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
sunburn,"n. 日炙, 晒斑, 晒焦, 晒黑
vt.vi. (使)晒黑, (使)晒得退色, (使)晒焦"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
toothache,"n. 牙痛
"
toothpaste,"n. 牙膏
"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
vitamin,"n. 维生素
"
baked,a. 烘焙的；烤的
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
beverage,"n. 饮料
"
bland,"a. 温和的, 乏味的, 冷漠的
"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
burrito,n. 墨西哥玉米煎饼
cappuccino,n. 热牛奶咖啡
chocolate,"n. 巧克力
a. 巧克力制的"
coffee shop,咖啡店
dessert,n. 餐后甜点
dressing,"n. 调味品, 穿衣, 化妆
"
flavor,"n. 滋味, 调味品
vt. 加味于"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
fried,a. 油炸的
greasy,"a. 油腻的, 含脂肪多的"
grilled,"a. 烤的, 炙过的, 有格子的"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
healthy,"a. 健康的, 有益健康的, 卫生的
"
ice cream,"冰淇淋
"
international,"a. 国际的
n. 国别设定
"
kebab,n. 烤肉串配蔬菜
lamb,"n. 小羊, 羔羊
v. 产羊羔"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
lettuce,"n. 莴苣, 生菜, 纸币
"
main dish, [医]主碟（一餐之主菜）
mashed,a. 捣烂的；被捣成糊状的；捣碎的
meatball,"n. 肉团, 愚蠢, 飞机降落目标"
menu,"n. 菜单, (功能)选择单
"
mixed,"a. 混合的, 形形色色的, 弄糊涂的
"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
noodle,"n. 面条, 笨蛋"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
pizza,n. 比萨饼
potato,n. 马铃薯
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
salad,n. 色拉
salmon,"n. 鲑鱼, 大麻哈鱼
"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
seafood,"n. 海味, 海鲜, 鱼类"
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
spaghetti,n. 意大利面条
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
stir-fried,"un. 炒的
"
sushi,n. 寿司（生鱼片冷饭团）
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
tofu,n. 豆腐
tomato,"n. 番茄, 西红柿"
tuna,"n. 金枪鱼, 金枪鱼肉"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
vinaigrette,n. 一种油、醋、盐、香料等合成的浓烈调味品
waiter,n. 侍者
waitress,"n. 女侍者, 女服务员"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
coastline,n. 海岸线
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
degree,"n. 程度, 度数, 学位, 度
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
forest,"n. 森林, 林区
vt. 植树于"
geography,"n. 地理学, 地理
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
isolated,"a. 孤立的, 孤零零的
"
kilometer,"n. 千米, 公里
"
knowledge,"n. 知识, 学问, 认识, 知道"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
mile,"n. 英里, 很大距离
"
million,"n. 百万, 无数
num. 百万"
mountain,"n. 山, 山脉, 大堆"
mountainous,"a. 多山的, 如山的, 巨大的"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
passenger,"n. 乘客, 旅客
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
population,"n. 人口, 人口数
"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
volcano,n. 火山
waterfall,n. 瀑布
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
afterward,"adv. 然后, 后来"
babysitter,n. 临时照顾幼儿者
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
comedy,"n. 喜剧, 有趣的事情"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
gathering,"n. 聚集, 集中, 采集
"
golf,"n. 高尔夫球
vi. 打高尔夫球"
hockey,"n. 冰球, 曲棍球"
invitation,"n. 邀请, 请柬, 引诱
"
meeting,"n. 会议, 会面
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
on time,"准时
"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
pick up,"v. 拾起；探出；重新开始
"
pick someone up, （尤指用车或根据事前安排去）接（人）; 找…的岔子; 跟…过意不去; 揭穿
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
puppy,"n. 小狗, 小动物, 自负的年轻人"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
roller coaster, 过山车
spectator,"n. 观众, 目击者, 旁观者"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
anniversary,n. 周年纪念
anymore,"adv. 再也不, 不再"
not ... anymore,"不再, 不比...多"
career,"n. 事业, 生涯, 成功
"
clinic,"n. 诊所, 临床教学
"
congratulations,"n. 祝贺词, 祝贺语"
credit card,
differently,"adv. 差异, 不同, 各别, 各种"
driver's license, 驾驶执照
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
fall in love, 陷入爱河（歌名）; [电影]追爱总动员
future,"n. 未来, 将来
a. 将来的, 未来的"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
lottery,"n. 奖券, 彩票, 运气
"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
