arroyo,"n. 干涸沟壑, 旱谷, 小河"
dagger,"n. 匕首
vt. 用剑刺"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
espionage,"n. 间谍活动
"
fencing,"n. 围墙, 剑术
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
formation,"n. 形成, 构造, 编队
"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
holster,n. 手枪皮套
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
loophole,"n. 枪眼, 小窗, 换气孔"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
mortar,"n. 臼, 研钵, 灰泥
vt. 用灰泥涂抹, 用灰泥结合"
parley,"n. 会谈, 谈判
vi. 会谈, 谈判
vt. 讲"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
reconnaissance,"n. 侦察, 勘察队
"
reconnoiter,"vt. 侦察, 勘查"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
scabbard,"n. 鞘
vt. 放入鞘内, 装鞘"
sheath,"n. 鞘, 叶鞘, 翅鞘
"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
volley,"n. 群射, 齐发, 迸发
vt. 群射, 齐发, 截击
vi. 进行群射, 齐鸣"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
waylay,"vt. 伏击, 埋伏
"
deploy,"v. 展开, 配置"
bastion,"n. 棱堡, 阵地工事"
cohorts,n. 军团; （古罗马军队的）步兵大队( cohort的复数形式 ); 一群人; 同伙; 支持者
metallurgical,"a. 冶金的, 冶金学的
"
galvanic,"a. 电流的, 电流引起的, 使人震惊的
"
meliorism,n. 社会向善论
petrography,n. 岩相学
draftsmanship,n. 制图术
gastronomy,"n. 美食法, 烹饪法"
horology,"n. 测时法, 钟表制造术"
interdisciplinary,[计] 学科间的
logistics,"n. 后勤学, 后勤
"
metallurgy,"n. 冶金学, 冶金术
"
metaphysical,"a. 形而上学的, 纯粹哲学的, 抽象的"
mnemonics,"n. 记忆术
"
numismatic,"a. 货币的, 奖章的, 古币学的"
nutrition,"n. 营养, 营养学
"
petrology,n. 岩石学
speleology,n. 洞穴学
entomology,"n. 昆虫学
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
ecosystem,"n. 生态系统
"
demographic,"a. 人口统计的
"
astral,"a. 星的, 多星的, 灵魂的
"
atavism,"n. 隔代遗传, 返祖现象
"
clime,"n. 地方, 气候区"
ecliptic,"n. 黄道
a. 黄道的, 食的"
carcinogenic,"a. 致癌作用, 癌发生
"
aphasia,"n. 失语症
"
apoplexy,"n. 中风
"
cathartic,"n. 泻药, 通便药
a. 通便的, 导泻的"
contagion,"n. 触染, 触染病, 蔓延, 歪风
"
effusion,"n. 流出物, 泻出
"
autopsy,"n. 验尸
"
clavicle,"n. 锁骨
"
dysentery,"n. 痢疾
"
emetic,"n. 催吐剂
a. 引起呕吐的"
euthanasia,"n. 安乐死
"
arable,"a. 适于耕种的, 可耕的"
ceremonious,"a. 讲究仪式的, 隆重的"
ceremony,"n. 典礼, 仪式, 礼节
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civility,"n. 礼貌, 礼仪"
comity,"n. 礼貌, 礼让
"
decency,"n. 得体, 礼貌, 正派
"
decorum,"n. 端正, 礼貌, 合宜, 礼仪"
etiquette,"n. 礼仪, 礼节, 成规
"
formality,"n. 礼节, 拘谨, 正式手续
"
propriety,"n. 礼貌, 规矩, 适当
"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
tonsure,"n. 剃发, 剃去头发的部分, 削发仪式
vt. 剃"
unction,"n. 涂油, 虚情假意, 津津有味, 敷擦圣油礼
"
apotheosis,"n. 尊崇为神, 神化, 美化"
archetype,n. 原型
epitome,"n. 概要, 缩影, 象征"
exemplary,"a. 可仿效的, 可做模范的, 惩戒性的, 示范的
"
exemplify,"vt. 例证, 例示
"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
paragon,"n. 杰出典范, 完人, 完美之物"
personification,"n. 拟人, 人格化, 拟人法, 化身, 象征"
prototype,"n. 原型
"
quintessence,"n. 精萃, 精华, 典范
"
specimen,"n. 样品, 标本, 试料
"
sacrament,"n. 圣礼, 圣事, 誓言
vt. 使立誓, 使宣誓"
atypical,"a. 非典型的
"
appropriation,"n. 拨用, 挪用, 拨款
"
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
actuarial,"a. 保险计算员的, 保险计算的
"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
asset,"n. 资产, 有益的东西"
auction,"n. 拍卖
vt. 拍卖"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
belongings,"n. 财产, 所有物, 相关事物
"
bullion,"n. 金银, 金银块, 纯金
"
commodity,"n. 农产品, 商品, 有用的物品
"
dealing,"n. 经营行为, 行为, 交易
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
defray,"vt. 支付, 支出
"
disburse,"vt. 支付, 支出, 分配
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
exchequer,"n. (英国)财政部, 国库
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
gratis,"adv. 免费地, 白送地
a. 免费的"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
invoice,"n. 发票, 发货单
v. 开发票, 记清单"
lien,"n. 留置权, 扣押权
"
mercantile,"a. 商业的, 商人的
"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
raffle,"n. 抽彩售货, 废物
vt. 抽彩售货
vi. 抽彩"
rebate,"n. 部分退款, 折扣
vt. 退还, 打折扣
vi. 退还部分付款"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
reciprocation,"n. 交互作用, 交换, 往复运动
"
remunerative,"a. 有报酬的, 有利可图的, 合算的"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
rog,"abbr. 货已收到, 凭单（Receipt Of Goods）"
securities,"n. 有价证券
"
suborn,"vt. 使作伪证, 唆使, 怂恿, 收买"
transaction,"n. 交易, 办理, 学报, 和解协议
"
underwrite,"vt. 签名于下, 给...保险
vi. 经营保险业"
usury,"n. 高利贷
"
barterer,n. 进行易货贸易者
capitation,"n. 人头税, 每人均摊费
"
emolument,"n. 薪水, 报酬"
expend,"vt. 花费, 消耗, 用光"
finable,"a. 应罚款的
"
fiscal,"a. 财政的, 国库的
"
gratuity,"n. 小费, 赠物, 赏钱
"
honorarium,"n. 酬金, 谢礼
"
ledger,"n. 分类帐, 分户总帐, 盖墓石板, 横木
"
lucrative,"a. 有利益的, 获利的, 合算的"
lucre,"n. 收益, 钱财"
monetary,"a. 货币的, 金钱的
"
pecuniary,"a. 金钱的, 金钱方面的, 课罚款的
"
pelf,"n. 钱财, 不义之财
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
perquisite,"n. 额外补贴, 特殊待遇, 外快
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
proceeds,"pl. 收益
"
remittance,"n. 汇款
"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
remuneration,"n. 报酬
"
subsidy,"n. 补助金, 津贴
"
subvention,"n. 补助金, 津贴, 援助
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
tithe,"n. 什一税, 十分之一, 小部分
vt. 课什一税
vi. 缴什一税"
revenue,"n. 收入, 岁入, 税收, 税务局
"
annuity,"n. 年金, 年金保险, 年金领受权
"
alimony,"n. 瞻养费, 生活费
"
arrears,"n. 逾期债款, 欠帐
"
bucolic,"a. 牧民的, 牧歌的, 乡下风味的
n. 田园诗, 农夫"
environs,"n. 市郊, 郊外"
idyll,"n. 叙事诗, 田园景色, 田园诗, 田园乐曲, 牧歌"
purlieu,"n. 森林边缘, 常去的地方, 范围, 界限
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
sylvan,"a. 森林的, 农村的, 乡村的
"
meadow,"n. 草地, 牧场"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
covenant,"n. 契约, 盟约
v. 立契约, 缔结盟约"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
indenture,"n. 契约, 契据, 凹痕
vt. 以契约束缚"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
muniment,"n. 契据, 证券, 文件, 防御手段
"
pact,"n. 契约, 协定, 条约
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
treaty,"n. 条约, 谈判
"
concerted,"a. 商定的, 协定的, 一致的
"
agenda,"pl. 议程, 日常工作事项
"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
entrust,"vt. 信托, 交托, 委托
"
rendezvous,"n. 约会, 约会地点
v. 集合, 集结, 在约定场所会面
"
troth,"n. 忠诚, 真实, 诚实, 诺言
vt. 约定, 订婚"
tryst,"n. 约会, 幽会
v. 约会"
chauvinism,"n. 盲目的爱国主义, 沙文主义
"
chauvinistic,"a. 本民族(或本性别)第一主义的, 沙文主义的"
cosmopolitanism,"n. 世界主义
"
dogmatism,"n. 武断, 教条主义"
dogmatist,"n. 教条主义者, 武断者"
eclecticism,"n. 折衷派, 折衷主义, 折衷说
"
egoism,"n. 自我主义, 利己主义"
empiricism,"n. 经验主义, 庸医的医术, 经验论
"
epicurean,"n. 享乐主义者, 美食家
a. 贪口福的, 享乐主义的"
existential,a. 有关存在的
hedonism,"n. 快乐论, 享乐主义
"
jingoism,"n. 侵略主义, 大国沙文主义"
metaphysics,"n. 形而上学, 玄学, 空头理论"
nihilism,"n. 虚无主义, 无政府主义
"
patriotism,"n. 爱国心, 爱国精神, 爱国主义"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
surrealism,"n. 超现实主义
"
radicalism,n. 激进主义
reciprocity,"n. 相互性, 相互作用, 互惠主义
"
revisionist,"n. 修正主义者
a. 修正主义的"
totalitarian,"a. 极权主义的
n. 极权主义者"
conservatism,"n. 保守, 守旧性, 保守主义, "
jingoist,n. 沙文主义者；侵略主义者
irenic,"a. 促使和解的, 有助于和平的, 和平的"
chauvinist,"n. 沙文主义者, 沙文主义组织
a. 沙文主义的"
fatalism,n. 宿命论
canonical,"a. 依教规的, 被认为圣典的, 权威的, 典型的
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
codify,"vt. 编成法典
"
ethics,"n. 道德规范
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
creed,"n. 宗教信条, 教义, 纲领"
disbar,vt. 剥夺律师资格
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
flunk,"n. 失败, 不及格
vi. 失败, 考试不及格, 放弃
vt. 使不及格"
ineligible,"a. 无被选任资格的, 不适任的, 无益的
n. 无被选任资格的人, 不合录用资格的人"
slate,"n. 板岩, 页岩, 提名名单, 人选, 记录, 石板
a. 石板色的
vt. 铺石板, 责骂, 痛打"
diocesan,"a. 主教管区的
n. 教区主教"
lectern,n. 诵经台
proselytize,"vt. 使改变宗教信仰
vi. 劝诱改变宗教信仰"
reincarnate,"vt. 使转世化身, 使重新体现
a. 转世化身的, 再生的"
impiety,"n. 无信仰, 不虔诚, 不孝"
orthodoxy,"n. 正统说法, 正教, 信奉正教"
seraph,n. 六翼天使
sacrosanct,a. 极神圣的
chaplain,n. 牧师
ecclesiastic,"n. 神职人员, 牧师, 传教士
a. 神职者的, 牧师的, 教会的"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
asylum,"n. 庇护, 收容所
"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
haft,"n. 柄, 把手
vt. 装上柄"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
helve,"n. 柄
vt. 装柄于"
hilt,"n. 柄, 刀把"
pitcher,"n. 有把的大罐, 瓶状体, 投手, 摊贩"
sledgehammer,"n. 大锤, 极有分量的事物
a. 强力的, 手下不留情的
v. 用大锤打, 沉重打击"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
barn,"n. 谷仓
"
cellar,"n. 地窖, 地下室, 藏酒"
crypt,"n. 土窖, 地穴, 地下室
"
hoard,"n. 贮藏物, 密藏的金钱
v. 囤积, 贮藏"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
mast,"n. 桅, 桅杆, 杆
vt. 装桅杆于"
pennant,"n. 尖旗, 三角旗, 三角锦旗, 三角信号旗"
scuttle,"n. 箩, 筐, 急速逃走, 天窗, 小舱口
vi. 急速逃走, 急忙撤退
vt. 凿沉, 毁坏"
skiff,"n. 小艇, 轻舟, 小型帆船"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
tugboat,"n. 拖船
"
apparel,"n. 衣服, 外表
vt. 使穿衣, 装饰"
attire,"n. 服装, 盛装
vt. 使穿衣, 打扮"
bonnet,"n. 软帽
"
bracelet,"n. 手镯
"
brooch,"n. 胸针, 领针"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
costume,"n. 装束, 服装"
cravat,"n. 领带, 围巾, 三角绷带
"
cuff,"n. 袖口, 一巴掌
vt. 用巴掌打
vi. 殴斗"
denim,"n. 斜纹粗棉布, 牛仔布, 劳动布, (非正式)工作服, 工装裤"
doff,"vt. 脱, 丢弃, 摆脱"
epaulet,"n. 肩章, 肩饰"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
fascia,"n. 带, 招牌
"
finery,"n. (华丽的)装饰, (华丽的)服饰, 鲜艳服装, 幽雅, 精炼炉
"
flannel,"n. 法兰绒, 法兰绒衣服"
garment,"n. 衣服, 衣装, 外表"
girdle,"n. 腰带, 围绕物
vt. 用腰带束缚, 围绕"
insignia,"n. 勋章, 徽章
"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
lint,"n. 绷带用麻布, 皮棉
"
parka,"n. 皮制连帽大衣, 派克大衣"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
robe,"n. 宽松长袍, 礼服, 披肩, 覆盖物
v. (给)穿长袍"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
sash,"n. 框格, 肩带, 腰带
vt. 装以窗框, 系上腰带"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
shawl,"n. 披肩, 围巾
vt. 用披肩裹"
shroud,"n. 尸衣, 寿衣, 覆盖物, (船的)横桅索
vt. 包以尸衣, 遮蔽, 隐藏, 覆盖"
tan,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
tapestry,"n. 挂毯, 绒绣
vt. 用挂毯装饰"
tuxedo,"n. 无尾礼服, 男小礼服"
vesture,"n. 衣服, 衣裳, 覆盖物
vt. 给穿衣服"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
cope,"vi. 竞争, 应付
n. 长袍"
don,"n. 西班牙贵族(或绅士), 先生, 阁下
vt. 穿上"
coiffure,"n. 头发式样, 妇女的发式, 头饰
vt. 把(头发)做成某种式样"
decollete,"a. (女装)低颈或露肩的, 袒胸露背的"
toga,"n. 宽外袍, 参议员的职位"
cape,"n. 岬, 海角, 披肩, 斗蓬"
frock,"n. 女礼服, 连衣裙, 工装, 罩袍, 僧衣"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
baste,"vt. 用长针脚粗缝, 润以油脂, 狠揍"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
linoleum,"n. 油地毡, 漆布
"
mackintosh,"n. 马金托什防水布, 马金托什雨衣
"
margarine,"n. 人造黄油
"
poncho,"n. 南美披风, 雨披"
tarpaulin,"n. 柏油帆布, 油布衣, 防水帽
"
unctuous,"a. 油的, 油质的, 油腻的, 虚情假意的
"
anoint,"vt. 涂油, 施以涂油礼
"
baton,"n. 指挥棒, 接力棒, 警棍"
clamp,"n. 夹钳
vt. 夹紧, 强加"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
cramp,"n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚"
cutlery,"n. 刀剑制造业, 刃具制造业, 刀剑, 刃具, 刀叉餐具"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
facilities,"n. 工具, 设施, 设备"
gadget,"n. 小配件, 小玩意, 诡计"
gavel,"n. 槌
"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
harpoon,"n. 鱼叉
vt. 用鱼叉叉, 用鱼叉捕获"
hawser,"n. 大缆, 系船索, 曳船索"
helm,"n. 舵, 驾驶盘, 枢机, 头盔
vt. 给...掌舵, 指挥, 给...戴头盔"
hoe,"n. 锄头
v. 用锄耕地, 锄"
hoop,"n. 箍, 铁环, 呼呼声
vt. 加箍于, 包围
vi. 发呼呼声"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
kaleidoscope,n. 万花筒
lathe,"n. 车床
vt. 用车床加工"
mallet,"n. 木槌, 球棍, 棒
"
nippers,n. 钳子（nipper的复数形式）
pestle,"n. 槌, 杵
v. 用槌磨, 用杵捣"
pincers,"n. 钳子, 镊子, 钳形运动, 螯
"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
pliers,"n. 钳子
"
razor,"n. 剃刀
vt. 剃"
reticulation,"n. 网眼, 网状, 网状物
"
spatula,"n. 刮刀, 压舌片, 匙突
"
tongs,"n. 钳子, 夹具
"
trident,"n. 三齿鱼叉, 三叉戟, 三叉线
a. 三叉的, 三齿的"
utensil,"n. 器皿, 用具"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
tong,"n. 钳子, 帮会
v. 用钳子钳起"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
anvil,"n. 铁砧
"
trowel,"n. 泥铲, 泥刀
vt. 用泥铲涂"
hatchet,"n. 斧头, 手斧, 战斧
"
scissor,"vt. 剪, 剪取, 删除, 削减
n. 剪刀"
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
screwdriver,"n. 螺丝起子
"
seine,"n. 曳网, 拖地大网
vt. 用曳网围捕
vi. 用曳网捕鱼"
sledge,"n. 雪橇, 大锤
vt. 用雪橇搬运
vi. 坐雪橇"
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗
vt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用
"
stencil,"n. 模版, 蜡纸
vt. 用蜡纸印, 用模版印刷"
stylus,"n. 铁笔, 尖笔, 唱针
"
tack,"n. 平头钉, 大头钉, 粗缝针脚, 行动方针, 食物
vt. 以大头针钉住, 附加"
aqueduct,"n. 水管, 沟渠, 导管
"
conduit,"n. 导管, 水管, 沟渠
"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
duct,"n. 管, 输送管
vt. 通过管道输送"
gutter,"n. 排水沟, 槽, 贫民区
vt. 开沟于
vi. 流
"
sewer,"n. 下水道, 阴沟, 裁缝师
vt. 用下水道排, 铺设下水道于"
culvert,"n. 涵洞, 电缆管道"
trough,"n. 槽, 水槽, 饲料槽
"
attic,"n. 阁楼, 顶楼
"
garret,"n. 层顶层, 阁楼, 顶楼, 头"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
dike,"n. 堤防
vt. 筑堤防护"
lattice,"n. 格子, 组合格子, 格子状东西
vt. 制做格子, 使成格子状
"
loft,"n. 阁楼, 鸽房, 楼上
vt. 储存于阁楼上
vi. 将球高击"
minaret,n. 光塔
pylon,"n. 标塔, 路标塔
"
spire,"n. 尖塔, 尖顶, 锥形体, 螺旋
vi. 突出, 耸立, 螺旋形上升
vt. 给...加塔尖"
steeple,"n. 尖顶, (教堂的)尖塔, 锥形体"
turret,"n. 塔楼, 角楼, 攻城用仰冲车
"
arena,"n. 角斗场, 舞台, 场地
"
awning,"n. 遮篷, 雨篷"
bleachers,n. 漂白剂（bleacher的复数形式）；（美）露天看台
blinds,n. 百叶窗；盲人（常用复数）
bower,"n. 凉亭, 树阴处"
breezeway,"n. 有屋顶的通路
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
cubicle,"n. 小卧室
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
domicile,"n. 住所, 住宅
v. (使)定居"
dwelling,"n. 住处
"
egress,"n. 出口, 外出
vi. 外出"
embankment,"n. 堤防, 筑堤"
jamb,"n. 门窗侧壁, 侧柱"
kiosk,"n. 亭, 凉亭, 报摊"
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
pane,"n. 窗玻璃, 方框, 方格, 窗格
vt. 嵌窗玻璃于
"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
skyscraper,"n. 摩天楼, 三角形天帆"
subside,"vi. 沉淀, 沉降, 平息"
shack,"n. 陋屋, 棚屋
vi. 居住, 暂住"
shanty,n. 棚屋
arbor,"n. 藤架, 树, 心轴, 凉亭
"
amphitheater,"n. 圆形剧场, 竞技场, 梯形看台"
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
dormer,n. 老虎窗；屋顶采光窗
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
obelisk,"n. 方尖塔, 剑号, 疑问记号"
rafter,"n. 椽, 筏夫
vt. 装椽于"
refectory,n. 餐厅
staircase,"n. 楼梯, 梯子, 楼梯部分
"
paraphernalia,n. 随身用具
pinion,"n. 鸟翼, 翅膀, 翅前翼, 羽毛, 小齿轮
vt. 剪断翼尖, 绑住...两臂"
lariat,"n. 套索
vt. 用套索捉"
rotunda,"n. 圆形建筑, 圆形大厅"
kiln,"n. 窑, 炉, 干燥炉
vt. 烧窑, (在干燥炉)烘干"
ballast,"n. 压载物, 压舱物
"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
buggy,"a. 多虫的
n. 双轮单座轻马车, 四轮单座马车"
cargo,"n. 货物
"
clipper,"n. 大剪刀
"
drawbridge,n. (可开闭的)吊桥
flatcar,"n. 平板货车, 平板车"
gangway,"n. 通道, 通路, 跳板
interj. 让路"
limousine,n. 轿车
nautical,"a. 海上的, 航海的, 船员的"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
pantechnicon,"n. 家具仓库, 家具搬运车"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
pier,"n. 码头, 桥墩, 支框, 防波堤
"
quay,"n. 码头, 驳岸
"
seafaring,"n. 航海业, 航海
a. 航海的, 在海上工作的"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
viaduct,n. 高架桥
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
dinghy,"n. 小船, 橡皮筏, 小艇"
amazon,"n. 亚马孙河
"
conveyance,"n. 运输, 运输工具, 财产转让
"
disembark,"v. (使)上岸, (使)登陆"
galleon,n. 大帆船
pinnace,"n. 舰载艇, 大舢板"
gong,"n. 铜锣, 皿形钟
vt. 鸣锣召唤"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
tambourine,n. 小手鼓
apron,"n. 围裙
"
badge,"n. 徽章, 标记
"
bandage,"n. 绷带
"
bin,"n. (贮存谷物等的)容器, 箱子
"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
canopy,"n. 天篷, 遮篷, 苍穹
vt. 用天蓬遮盖"
chandelier,n. 枝形吊灯
crate,"n. 板条箱, 装货箱
"
crutch,"n. 拐杖, 支撑, 依靠
vt. 支撑"
earplug,"n. 耳塞
"
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗
"
four-poster,四柱大床
lasso,"n. 套索, 以套索捕
vt. 以套索捕"
leash,"n. (拴狗颈的)皮带
vt. 以皮带束缚, 束缚"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
sleigh,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬"
banister,"n. 栏杆的支柱, 楼梯的扶栏"
hone,"n. 磨刀石, 抱怨, 想念
vt. 用磨刀石磨, 磨练"
mattress,"n. 床垫, 空气垫, 沉床
"
padding,"n. 垫充, 垫塞, 填料, 废话, 虚报的费用
"
periscope,"n. 潜望镜(镜头)
"
rucksack,n. 帆布背包
suitcase,n. 手提箱
tureen,"n. 盖碗, 焙盘"
wick,"n. 灯芯, 油绳"
appetizer,"n. 开胃食品, 吊胃口的东西
"
beverage,"n. 饮料
"
