divulge,"vt. 泄露, 透露"
purview,"n. 范围, 权限, 视界
"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
erudite,"a. 博学的
n. 博学者"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
counterintuitive,a. 违反直觉的
intriguing,"a. 吸引人的, 有趣的"
magnanimous,"a. 宽宏大量的, 有雅量的
"
untether,vt. 解下拴牛马的绳、链
formulaic,"a. (根据)公式的,用俗套话堆砌成的,刻板的"
gambit,"n. 以取得优势的开局棋法, 开场白, 话题"
vivacious,"a. 活泼的, 快活的, 多年生的"
stratify,"vt. (使)成层
"
exceptional,"a. 例外的, 异常的, 特别的"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
palatable,"a. 美味的, 好吃的, 可口的
"
stagnate,"v. (使)淤塞, (使)停滞, (使)变萧条"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
befuddle,"vt. 使昏沉, 使迷惑, 使糊涂"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
antithesis,"n. 对偶, 对照, 对立面"
valediction,"n. 告别, 告别辞"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
complacent,"a. 满足的, 自满的, 得意的"
hinder,"a. 后面的
v. 阻碍, 打扰"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
impenetrable,"a. 不能通过的, 不可理喻的, 费解的, 顽固的"
obtrude,"vt. 逼使, 强迫, 伸出
vi. 打扰, 强行闯入"
debunk,"vt. 揭穿, 暴露, 拆穿假面具"
umbrage,"n. 不快, 生气, 阴影, 树荫, 怀疑等模糊感觉"
affinity,"n. 吸引, 姻亲关系, 类同
"
ramification,"n. 分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
"
immerse,"vt. 沉浸, 使陷入
"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
assuage,"vt. 平息, 缓和, 减轻"
expiation,"n. 赎罪, 补偿
"
loquacious,"a. 多嘴的, 好辩的, 吵闹的, 潺潺的"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
adjuration,"n. 恳请, 祈求
"
dreary,a. 沉闷的
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
raillery,"n. 戏谑, 逗趣"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
feckless,"a. 无效的, 无能的, 不负责任的"
stigma,"n. 耻辱, 污名, 烙印
"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
condemn,"vt. 判刑, 责备, 谴责
"
impugn,"vt. 责难, 抨击, 攻击
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
pejorative,"a. 贬损的, 轻蔑的
n. 轻蔑语, 贬义词"
blithe,"a. 愉快的, 高兴的"
refute,"vt. 反驳, 驳斥；驳倒"
vacuous,"a. 空的, 空虚的, 没有思想的"
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
honorific,"a. 尊敬的, 表示敬意的, 敬称的
n. 敬语"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
excoriate,"vt. 剥皮, 擦破皮肤, 严厉的责难"
immutable,"a. 不可变的, 不变的, 不能变的"
hypercritical,"a. 批评苛刻的, 吹毛求疵的"
momentous,"a. 重大的, 重要的"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
traumatic,"a. 外伤的, 创伤的
"
secretive,"a. 秘密的, 偷偷摸摸的, 分泌的, 促进分泌的"
delegate,"n. 代表
vt. 委派...为代表"
abeyance,"n. 中止, 暂搁, 停止, 归属待定
"
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
alarmism,n. 危言耸听
divisive,"a. 区分的, 制造分裂的, 造成不和的"
torpor,"n. 麻木, 无感觉, 迟钝
"
indolent,"a. 懒惰的, 无痛的
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
contingency,"n. 偶然性, 可能性, 意外事故
"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
alacrity,"n. 敏捷, 轻快, 乐意"
transcend,"vt. 超越, 胜过"
resonate,"v. (使)共鸣, (使)共振"
uncharacteristic,a. 无典型特征的；不典型的
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
rankle,"vi. 化脓, 怨恨
vt. 使怨恨"
acquiesce,"vi. 默许, 默然同意"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
congruous,"a. 一致的, 适合的, 符合的"
gadfly,"n. 形似苍蝇, 牛虻, 讨厌的人
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
overwrought,"a. 过分劳累的, 过度紧张的, 神经质的, 过度兴奋的, 过分推敲的, 不自然的"
purposeful,"a. 有目的的
"
prognosis,"n. 预测, 预后
"
malleable,"a. 有延展性的, 可锻的
"
forgo,"vt. 摒绝, 放弃"
encumber,"vt. 妨害, 阻塞, 拖累
"
barbarity,"n. 残暴的行为, 残忍, 粗鄙"
sanctimonious,"a. 假装圣洁的, 假装虔诚的, 假装诚实的"
repugnant,"a. 讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
"
pseudonym,"n. 假名, 笔名
"
explicit,"a. 详述的, 清楚的, 直言的"
inexorable,"a. 无情的, 冷酷的"
dissemble,"v. 掩饰, 假装不知道"
scintillating,"a. 妙趣横生的, 才气横溢的"
luminary,"n. 发光体, 杰出人物"
empower,"vt. 授予权力, 允许, 使能够
"
deference,"n. 顺从, 尊重"
lugubrious,"a. 忧郁的, 悲惨的, 悲哀的"
denounce,"vt. 告发, 抨击, 谴责
"
parochial,"a. 教区的, 地方性的, 目光偏狭的"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
distill,"vt. 蒸馏
vi. 滴下"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
encyclopedic,"a. 如百科辞典的, 百科全书式的"
euphemism,"n. 委婉说法, 委婉语"
nondescript,"a. 莫可名状的, 难以区别的
n. 难以名状的事物, 不属任何类型的人"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
enduring,"a. 持久的, 忍耐的"
enliven,"vt. 使活泼, 使生动"
half-formulated,无
dubious,"a. 可疑的, 不确定的"
churlish,a. 粗野的
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
serendipitous,a. 偶然发现的
mercurial,"a. 水星的, 敏捷的, 活泼的, 水银的
n. 汞剂"
deceive,"v. 欺骗, 行骗"
fortuitous,"a. 偶然的
"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
remuneration,"n. 报酬
"
sparkling,"a. 闪闪发光的, 闪烁的, 闪烁着才华的"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
credential,"n. 国书, 凭据, 证明书
"
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
scandalous,"a. 不体面的, 可耻的, 诽谤性的, 爱传播丑闻的"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
patchwork,"n. 拼缝物, 拼凑物"
flabbergast,"vt. 使大吃一惊, 哑然失色"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
benighted,"a. 赶路到天黑的, 陷入黑暗的, 愚昧的"
undiscriminating,"a. 无鉴别力的, 不加区别的"
palpable,"a. 可感知的, 明显的, 触摸得到的
"
effusive,"a. 感情横溢的, 奔放的, 流出的"
habitable,"a. 适于居住的, 可居住的"
codify,"vt. 编成法典
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
convivial,"a. 酒宴的, 欢宴的, 欢乐的"
multifarious,"a. 多种的, 各种各样的, 许多的"
panacea,"n. 万能药, 灵丹妙药
"
countenance,"n. 面容, 面部表情, 支持, 镇定"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
taint,"n. 污点, 耻辱, 感染
vt. 污染, 使腐败, 沾染, 腐蚀"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
delude,"vt. 迷惑, 蛊惑"
ill-advised,"adj. 鲁莽的
"
prosaic,"a. 散文的, 散文体的, 平凡的"
malfeasance,"n. 不正当, 不法行为, 坏事, 渎职
"
egregious,"a. 异乎寻常的, 过分的, 惊人的"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
conundrum,"n. 谜语, 难题"
contrive,"v. 发明, 设计, 图谋"
gratify,vt. 使满足
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
anthropogenic,"[医] 人类发生的, 人类起源的"
conflate,vt. 合并；异文合并
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
underlie,"vt. 位于...之下, 成为...的基础"
anecdote,"n. 轶事, 奇闻"
ministration,"n. 牧师执职, 服侍, 援助"
banal,"a. 平凡的, 陈腐的"
flippant,"a. 轻率的, 没礼貌的, 嘴碎的"
invective,"n. 恶言漫骂, 臭骂
a. 漫骂的, 非难的, 恶言的"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
miserly,"a. 吝啬的, 贪婪的"
renowned,"a. 有名的, 有声誉的"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
polemical,a. 好辩的；好争论的；挑起论战的
facile,"a. 容易的, 灵巧的, 温和的"
transparent,"a. 透明的, 显然的, 清晰的
"
unimpeachable,"a. 无懈可击的, 无可指责的, 无过失的"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
flighty,"a. 轻浮的, 轻狂的, 心情浮动的"
infectious,"a. 有传染性的, 易传染的
"
gall,"n. 胆汁, 五倍子, 苦味, 肿痛, 恼怒, 磨损处
vt. 烦恼, 屈辱, 磨伤
vi. 被磨伤"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
overt,"a. 明显的, 公然的, 蓄意的
"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
perilous,"a. 危险的, 濒临毁灭的"
cataclysm,"n. 大洪水, 地震, (社会政治的)大变动
"
concede,"vt. 承认, 退让
vi. 让步"
horrific,"a. 令人毛骨悚然的, 感到恐惧的"
multitudinous,"a. 多数的, 拥挤的, 种种的"
downplay,vt. 不予重视
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
mediocre,"a. 不好不坏的, 通常, 平凡的"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
stilted,"a. 踏上高跷的, 虚饰的, 夸大的, 夸张的, 呆板的, 不自然的, 做作的"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
ethical,"a. 伦理的, 民族的, 民族特有的
"
consequential,"a. 作为结果的, 随之发生的, 推论的, 间接的, 重大的, 自大的, 傲慢的, 自傲的
"
perpetuate,"vt. 使永存, 使不朽, 保持"
anathema,"n. 令人厌恶的人, 强烈的遣责, 诅咒, 咒逐, 革出教门"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
enchanting,"a. 迷人的, 妩媚的, 迷惑人的"
mishandle,"vt. 虐待, 胡乱处理"
fickle,"a. 变幻无常的, 浮燥的, 薄情的"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
mollify,"vt. 平息, 缓和, 减轻, 使变软"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
methodical,"a. 有方法的, 有系统的"
hortatory,a. 激励的
innate,"a. 先天的, 天生的
"
displace,"vt. 移置, 替换, 转移"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
tedious,"a. 沉闷的, 冗长乏味的"
irascible,"a. 易怒的, 暴躁的"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
occlude,"vt. 使闭塞, 隔断, 挡住
vi. 咬合"
impair,"vt. 损害, 减少, 削弱
"
laudatory,"a. 赞美的, 赞赏的"
prevalent,"a. 普遍的, 流行的"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
portend,"vt. 成为...的前兆, 预知, 给与...的警告"
self-defeating,自我挫败
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
meddle,"vi. 干涉, 干预, 擅自摸弄
"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
somnolent,"a. 想睡的, 催眠的
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
onerous,"a. 繁重的, 负有法律责任的
"
comity,"n. 礼貌, 礼让
"
douse,"vt. 插入水中, 浇(或洒、泼)水在...上, 熄(灯、火等), 平息
vi. 浸泡
n. 泼洒"
asseverate,"vt. 郑重声明, 断言"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
sacrosanct,a. 极神圣的
quiescent,"a. 静止的, 不活动的, 寂静的
"
evasive,"a. 逃避的, 回避的, 托辞的
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
innocuous,"a. 无害的, 无伤大雅的
"
arcane,"a. 神秘的, 晦涩难解的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
entice,"vt. 诱骗, 引诱, 怂恿"
unmistakable,"a. 不会弄错的, 不会被误解的, 不会搞错的, 明白无误的, 清楚明白的"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
trepidation,"n. 恐惧, 惊惶, 忧虑
"
synergy,"n. 协同作用
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
predate,"vt. 倒填...的日期, 把...的日期填早, 在日期上早于, 在日期上先于
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
linkage,"n. 联合, 连锁, 结合, 联动
"
hypocrisy,"n. 伪善
"
redundant,"a. 多余的, 过多的, 冗长的
"
mitigate,"vt. 温和, 缓和, 减轻
"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
fecund,"a. 生殖力旺盛的, 多产的, 丰饶的, 肥沃的"
reflective,"a. 反射的, 反映的, 沉思的"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
recant,"vt. 放弃
vi. 放弃信仰, 撤回声明, 公开认错"
rambling,"a. 漫步的, 布局零乱的, 散漫的"
inure,"vt. 使习惯于
vi. 生效"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
puerile,"a. 孩子气的, 天真的, 未成熟的
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
simplistic,a. 过分简单化的
chivalrous,"a. 骑士的, 勇敢的"
apathetic,"a. 缺乏感情的, 无动于衷的, 缺乏兴趣的
"
dedicate,"vt. 献出, 贡献"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
inertia,"n. 惯性, 惰性, 迟钝
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
primacy,"n. 第一, 首位, 卓越"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
incivility,"n. 无礼貌, 不客气, 非礼"
laconic,"a. 简洁的, 简明的"
confess,"v. 承认, 坦白, 忏悔, 供认"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
paragon,"n. 杰出典范, 完人, 完美之物"
outmoded,"a. 过时的, 废弃的
"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
incentive,"n. 动机
a. 激励的"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
sectarian,"a. 宗派的, 党派的, 偏狭的
n. 宗派成员, 闹宗派的人"
moribund,"a. 垂死的
n. 垂死的人"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
interchangeable,"a. 可互换的
"
exiguous,"a. 稀少的, 细微的, 细小的"
truism,"n. 自明之理, 众所周知, 老生常谈
"
valorize,"vt. 限定价格, 稳定物价
"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
satire,"n. 讽刺文学, 讽刺"
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
evenhanded,"a. 公平的, 公平无私的"
amorphous,"a. 无定形的, 无组织的
"
apolitical,a. 不关心政治的
obviate,"vt. 除去, 排除, 使成为不必要, 避免"
prescience,"n. 预知, 先见"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
animadversion,"n. 批评, 责备"
adorn,"vt. 装饰, 使生色"
duplicitous,a. 奸诈的；双重的；搞两面派的
vehement,"a. 热烈的, 激烈的"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
antediluvian,"a. 大洪水前的, 陈旧的, 过时的
n. 大洪水以前的人, 老迈的人"
facet,"n. (多面体的)面, 方面, 琢面
"
ponderous,"a. 沉重的, 笨重的, 毫无趣味的, 生硬的"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
aggrandize,"vt. 增加, 夸大"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
chagrin,"n. 懊恼
vt. 使懊恼"
seclusion,"n. 隔离, 隐退"
commence,"v. (使)开始, 得学位"
mordant,"a. 尖酸的, 辛辣的, 有腐蚀性的
n. 腐蚀剂, 金属箔粘着剂, 媒染剂
vt. 媒染"
disconcerting,"a. 困惑的, 不安的, 尴尬的
v. 使不安( disconcert的现在分词); 使为难; 使慌张; 使窘迫"
embellish,"vt. 修饰, 装饰, 润色"
pugnacious,a. 好斗的
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
furtive,"a. 秘密的, 隐密的, 偷偷摸摸的"
bewilder,"vt. 使迷惑, 使不知所措"
unidimensional,[计] 一维的
jaded,"a. 疲倦不堪的, 厌倦的"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
archetypal,a. 原型的
humility,"n. 谦逊, 谦虚, 谦卑"
disclose,"vt. 揭露, 透露
"
adversarial,"a. 敌手的,对手的,对抗(性)的"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
enormous,"a. 巨大的, 庞大的"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
forswear,"vt. 发誓抛弃, 发誓否定
vi. 发伪誓, 作伪证"
solidarity,"n. 团结, 团结一致, 共同一致
"
conspicuous,"a. 显著的, 显眼的, 出众的"
disinformation,n. 假情报
preempt,"vt. 先买, 先取
vi. 先发制人地叫牌"
recapitulate,"v. 重述要点, 概括, 摘要"
paralyze,"vt. 使瘫痪, 使麻痹
"
inexpressible,"a. 不能用语言表达的, 不可言传的, 不可名状的"
absorbing,"a. 吸引人的, 非常有趣的
"
plethora,"n. 过多, 过剩, 多血症
"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
antagonistic,"a. 对抗的, 敌对的
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
tendentious,"a. 有偏见的, 有倾向的, 淘气的"
prestige,"n. 声望, 威望, 威信
"
burlesque,"n. (讽刺性的)诙谐模仿, 滑稽戏
a. 滑稽的, 可笑的"
attain,"vt. 达到, 获得
vi. 达到"
upsurge,"vi. 高涨, 涌起
n. 增长, 高潮"
grouchy,"a. 不高兴的, 不平的"
pliable,"a. 易弯的, 柔顺的, 圆通的"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
histrionic,"a. 演员的, 演剧的, 矫揉造作的
n. 演员, 演剧, 戏剧性"
abnegate,"vt. 放弃, 舍弃, 克制(欲望)"
provoke,"vt. 激怒, 惹起, 诱导
"
avaricious,a. 贪婪的
brag,"n. 吹牛
v. 吹牛"
heed,"n. 注意, 留心
v. 注意, 留心"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
prefigure,"vt. 预示, 预见, 预想"
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
animus,"n. 基本态度, 敌意, 意向
"
justification,"n. 辩护, 证明正当, 释罪
"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
aggrieve,"vt. 使委屈, 使悲痛, 侵害
"
dearth,"n. 缺乏, 粮食不足, 饥馑"
calumny,"n. 诽谤, 中伤
"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
pertinent,"a. 相关的, 中肯的, 切题的
"
distort,"vt. 扭曲, 歪曲
"
overextend,"vt. 过分扩展, 过分延长"
precocious,"a. 早熟的, 像大人的
"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
quirky,"a. 诡诈的, 突兀的, 古怪的, 离奇的
"
proponent,"n. 建议者, 支持者
"
reiterate,"vt. 反复地说, 重申, 反复地做
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
rapacious,"a. 强夺的, 贪欲的, 贪婪的"
disquisition,"n. 专题论文, 研究, 探讨"
foretell,"vt. 预言, 预告, 预示"
understate,"v. 不完全地陈述, 保守地说, 有意轻描淡写"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
predetermine,"vt. 预先决定, 预先查明
"
provisional,"a. 暂时的, 暂定的, 临时的
"
circumspect,"a. 细心的, 慎重的"
majestic,"a. 宏伟的, 庄严的"
estrange,"vt. 使疏远, 离间, 使离开"
falsehood,"n. 谎言, 虚假(性)
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
circuitous,"a. 迂回的, 间接的, 绕行的"
propitious,"a. 顺利的, 适合的, 吉祥的, 慈悲的"
insightful,"a. 有深刻见解的, 富有洞察力的"
nullify,"vt. 使无效, 废弃, 取消
"
facilitate,"vt. 使容易, 促进, 帮助
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
deleterious,"a. 有害的, 造成伤害的
"
ethereal,"a. 轻的, 飘渺的, 天上的
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
scrupulous,"a. 小心谨慎的, 细心的"
monolithic,"a. 独石的, 完全统一的, 整体的
"
scathing,"a. 伤害的, 损伤的, 严厉的"
