the,art. 那
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
population,"n. 人口, 人口数
"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
economy,"n. 经济, 理财, 节约
"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
hospital,"n. 医院
"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
future,"n. 未来, 将来
a. 将来的, 未来的"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
defense,"n. 防卫, 防卫物
"
anyone,pron. 任何人
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
bank,"n. 银行, 堤, 岸
"
myself,"pron. 我自己, 我亲自, 我独自"
certainly,adv. 确定地
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
per,"prep. 每一, 通过, 经, 按照
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
behavior,"n. 行为, 举止
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
quickly,adv. 很快地
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
author,"n. 作家, 作家的著作, 创始人
"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
upon,"prep. 在...之上, 迫近, 紧接着"
agency,"n. 代理机构, 经销商, 中介
"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
recently,adv. 最近
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
than,"conj. 比, 除...外
prep. 比"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
similar,"a. 相似的, 类似的
n. 相似的东西"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
language,"n. 语言, 文字, 措辞
"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
usually,"adv. 通常, 大抵"
response,"n. 反应, 回答, 响应
"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
animal,"n. 动物
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
decade,"n. 十年, 十"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
seven,"num. 七, 七个"
artist,"n. 艺术家, 画家"
away,adv. 离去
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
career,"n. 事业, 生涯, 成功
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
central,"a. 中央的, 重要的
"
eight,"num. 八, 八个"
thus,"adv. 如此, 因此, 到如此程度
"
treatment,"n. 治疗, 待遇, 处理
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
protect,"vt. 防卫, 保护, 警戒
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
occur,"vi. 发生, 被想到, 存在"
media,"n. 媒体
"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
meeting,"n. 会议, 会面
"
determine,"v. 决定, 决心"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
disease,"n. 疾病, 弊病
"
whatever,pron. 无论什么
success,"n. 成功, 成就, 胜利"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
amount,"n. 总数, 总额
vi. 总计, 等同"
ability,"n. 能力, 才干
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
indicate,"vt. 显示, 象征, 指示, 指出
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
growth,"n. 生长, 栽培, 增长
"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
degree,"n. 程度, 度数, 学位, 度
"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
herself,"pron. 她自己, 她亲自"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
television,"n. 电视
"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
TV,"n. 电视；电视机
abbr. (=television)
"
training,"n. 训练, 培养
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
election,"n. 选举, 当选, 选择权
"
everybody,"pron. 每个人, 人人"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
arrive,"vi. 到达, 抵达"
analysis,"n. 分析
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
lawyer,"n. 律师
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
environmental,"a. 周围的, 环境的
"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
PM,"abbr. (=prime minister)总理；首相；午后
n. 总理（全写为 prime minister）
"
professor,n. 教授
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
financial,"a. 财政的, 金融的
"
crime,"n. 犯罪, 罪行, 罪恶
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
ok,"a. 好, 不错, 可以
adv. 好, 不错, 可以
n. 批准, 认可
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
ten,"num. 十, 十个"
knowledge,"n. 知识, 学问, 认识, 知道"
gun,"n. 枪
"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
strategy,"n. 战略, 策略
"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
clearly,adv. 清楚地
discuss,"vt. 讨论, 论述
"
indeed,"adv. 的确, 实在, 真正地, 甚至"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
truth,"n. 事实, 实情
"
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
example,"n. 例子, 样本, 实例
"
democratic,"a. 民主的
"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
environment,"n. 环境, 外界, 围绕
"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
rather,"adv. 宁可, 稍微, 相当"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
since,"prep. 自...以后, 自...以来
adv. 自那时以后
conj. 既然, 自...以后, 自...以来"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
manager,"n. 经理, 管理员, 管理器
"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
enjoy,"vt. 享受, 喜欢, 欣赏
"
network,"n. 网络, 广播网, 网状物
"
legal,"a. 法律的, 法定的, 合法的
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
science,"n. 科学, 学科, 学问, 自然科学
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
cell,"n. 单元, 细胞, 电池
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
Democrat,"n. 民主人士, 民主主义者, 民主党党员
"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
management,"n. 经营, 支配, 管理
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
avoid,"vt. 避免, 防止, 撤消
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
huge,"a. 极大的, 巨大的, 无限的"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
yourself,pron. 你自己
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
statement,"n. 陈述, 指令, 声明
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
traditional,"a. 传统的, 惯例的
"
onto,prep. 在...之上
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
direction,"n. 方向, 指导, 趋势
"
weapon,"n. 武器, 兵器
vt. 武装"
employee,"n. 职员, 员工, 受雇人员
"
cultural,"a. 文化的, 教养的, 修养的
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
apply,"vt. 涂, 应用
vi. 申请, 适用"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
politics,"n. 政治, 政治学, 政见, 政治活动
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
candidate,"n. 候选人, 投考者
"
production,"n. 制造, 生产, 产物
"
