criticize,"v. 批评, 吹毛求疵, 非难"
mourn,"v. 哀悼, 忧伤, 服丧"
misfortune,"n. 不幸, 灾祸, 坏运气
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
reasonable,"a. 合理的, 明理的, 适当的
"
appropriate,"a. 适当的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
expectation,"n. 期待, 指望, 展望
"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
embarrassment,"n. 困难, 阻碍, 困窘
"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
preference,"n. 偏爱, 优先, 喜爱物
"
appreciation,"n. 感激, 赏识, 鉴别
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
obstacle,"n. 障碍, 妨害物, 阻碍"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
inexorable,"a. 无情的, 冷酷的"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
in turn,"na. 挨次
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
the latter,后者
condensed,a. 浓缩的；扼要的
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
govern,"v. 统治, 支配, 管理"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
negativity,"n. 否定性, 消极性"
instead,"adv. 作为替代, 反而"
detached,"a. 超然的, 分离的, 冷淡的
"
reminder,"n. 提醒的人, 暗示
"
mysterious,"a. 神秘的, 难解的, 不可思议的"
carve,"v. 雕刻, 切开"
statue,"vt. 以雕像装饰
n. 雕像"
operate,"v. 操作, 运转, 动手术, 活动"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
gravitate,"vi. 被重力吸引, 沉下, 下降
vt. 使受重力吸引"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
intuition,"n. 直觉, 直觉的知识"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
synchronism,"n. 同时发生, "
likewise,"adv. 同样地, 也"
principle,"n. 原则, 原理, 主义
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
disturb,"vt. 扰乱, 妨碍, 使不安
"
recent,"a. 最近的, 近代的, 最新的
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
sinew,"n. 肌肉, 精力, 体力, 力量的源泉, 腱
vt. 赋予力量, 加强"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
pretend,"v. 假装, 伪称, 自命, 自称"
evaluate,"vt. 评估, 评价, 赋值"
define,"vt. 定义, 规定, 使明确
"
awe,"n. 敬畏
vt. 使敬畏"
irritation,"n. 刺激, 烦恼, 刺激物
"
withstand,"vt. 抵住, 顶住, 经得起"
arrow,"n. 箭, 箭状物, 箭头记号"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
capacity,"n. 容量, 能力, 才能, 资格
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
enormously,"adv. 非常地, 巨大地"
deprive,"vt. 剥夺, 使丧失
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
professional,"n. 专业人才
a. 专业的, 职业的"
ability,"n. 能力, 才干
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
suffering,"n. 苦难, 受苦"
famine,"n. 饥荒, 缺乏, 饥饿"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
organized,"a. 有组织的, 组织起来的"
belongings,"n. 财产, 所有物, 相关事物
"
designated,a. 特指的；指定的
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
patience,"n. 耐性, 忍耐"
caterpillar,"n. 毛虫
"
butterfly,"n. 蝴蝶
"
diamond,"n. 钻石, 菱形
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
practical,"a. 实际的, 现实的, 实用性的
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
capable,"a. 有能力的, 能的, 能干的"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
scroll,"n. 卷轴, 画卷, 名册, 条幅, 滚动
v. (使)成卷形
"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
enthusiasm,"n. 巨大的热情, 热心"
strife,"n. 争吵, 竞争, 冲突"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
propel,"vt. 推进, 驱使
"
feedback,"n. 反馈, 反应
"
diverse,"a. 不同的, 变化多的"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
terror,"n. 恐怖, 可怕的人
"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
robbery,"n. 抢掠, 抢夺
"
community,"n. 社区, 公众, 共有, 共同体
"
fragrance,"n. 芬芳, 香味"
enchanting,"a. 迷人的, 妩媚的, 迷惑人的"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
blurt,"vt. 冲口说出, 脱口说出"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
predator,"n. 食肉动物, 掠夺者
"
tolerate,"vt. 宽容, 容许, 有耐力"
damage,"n. 损害, 伤害
v. 损害"
complain,"v. 抱怨, 抗议, 控诉"
success,"n. 成功, 成就, 胜利"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
courteous,"a. 彬彬有礼, 谦恭的"
creative,"a. 有创造力的, 创作的, 产生的"
alter,v. 改变
instrument,"n. 工具, 手段, 仪器
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
gratitude,n. 感激之情
denial,"n. 否认
"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
clarity,"n. 清楚, 明晰
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
historical,"a. 历史的, 史实的, 历史上的
"
epoch,"n. 新纪元, 时代, 时期"
immediate,"a. 立即的, 直接的, 接近的
"
realm,"n. 王国, 领土, 领域
"
barrier,"n. 障碍, 栅栏
"
destiny,"n. 命运, 定数"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
judgment,"n. 裁判, 宣告, 判决书
"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
ignorance,"n. 无知, 愚味
"
optimist,"n. 乐观者, 乐观主义者"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
mood,"n. 心情, 气氛, 生气, 基调
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
selfish,"a. 自私的, 利己主义的, 自我中心的"
genuinely,adv. 真诚地；诚实地
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
brand new,"崭新的,全新的"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
audio,"a. 音频的, 声音的
"
input,"n. 输入, 输入电路
vt. 输入
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
excellent,"a. 优良的, 杰出的, 出色的"
allot,"vt. 分配, 分摊指定
"
priority,"n. 优先权, 优先
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
faraway,"a. 遥远的, 恍惚的, 出神的"
centred,"a. 位于中心的, 以某一对象为中心的
v. 置于中央( centre的过去式和过去分词 ); 集中; 把…当作中心; （使）成为中心"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
console,"vt. 安慰, 藉慰
n. 控制台
"
destination,"n. 目的地, 目标, 目的
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
mechanic,"n. 机械工, 技工
a. 手工的"
vitality,"n. 活力, 生命力
"
hypocrisy,"n. 伪善
"
slyness,n. 狡猾；诡秘
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
describe,"vt. 描述, 描绘, 画"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
Pittsburgh,n. 匹兹堡
threshold,"n. 门槛, 入口, 开端, 阈
"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
multitude,"n. 多数, 群众"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
depict,"vt. 描述, 描写"
disorientation,"n. 迷向, 迷惑
"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
advisable,"a. 适当的, 明智的"
outlook,"n. 观点, 景色, 前途, 了望
"
wealthy,"a. 富有的, 丰裕的, 充分的"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
contrived,"a. 人造的, 勉强的, 不自然的"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
imply,"vt. 暗示, 意味
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
desperately,adv. 拼命地；绝望地；极度地
delude,"vt. 迷惑, 蛊惑"
perpetuate,"vt. 使永存, 使不朽, 保持"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
accumulated,a. 累计的；累积的；达到
weariness,"n. 疲倦, 厌倦, 疲劳"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
eternal,"a. 永恒的, 永远的, 不灭的"
aspect,"n. 外观, 方面, 面貌, 方向
"
essence,"n. 实质, 本质, 香精
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
blessing,n. 祝福
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
fatiguing,a. 使人劳累的
numinous,"a. 精神上的, 超自然的"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
cultivate,"vt. 培养, 耕作"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
in all situations,无
elevate,"vt. 举起, 提拔, 鼓舞"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
deceive,"v. 欺骗, 行骗"
intelligence,"n. 智力, 情报, 信息
"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
examine,"v. 检查, 调查, 考试"
method,"n. 方法, 办法, 条理, 秩序
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
retaliation,"n. 报复
"
foundation,"n. 基础, 根据, 建立
"
convinced,"a. 确信的, 深信的"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
entrepreneur,"n. 企业家, 主办人
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
personnel,"n. 人员, 人事部门, 人事科(处)
"
instinctive,"a. 本能的, 天生的, 直觉的
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
expansion,"n. 扩充, 开展, 膨胀
"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
resentment,"n. 怨恨, 愤恨"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
dissolve,"v. 溶解, 解散"
prepared,"a. 准备好的, 特制的"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
anniversary,n. 周年纪念
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
thought-provoking, 发人深省的
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
innovation,"n. 改革, 创新
"
efficient,"a. 有效率的, 能干的"
customer,"n. 消费者
"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
language,"n. 语言, 文字, 措辞
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
mentor,"n. 指导者, 良师益友"
asset,"n. 资产, 有益的东西"
donate,v. 捐赠
certain,"a. 确定的, 某一个的, 必然的
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
devote,"vt. 投入于, 献身"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
thriving,"a. 兴旺的, 旺盛的, 繁荣的"
schooling,"n. 学校教育, 学费"
continuous,"a. 连续的, 继续的, 连续不断的
"
based,"v. 立基于, 以…为基础（base的过去式和过去分词）"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
inhabit,"vt. 居住于, 占据, 栖息"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
stop by,顺便访问
productive,"a. 能生产的, 有生产价值的, 多产的
"
preconception,"n. 事先钩成的看法, 成见
"
judgement,"n. 审判, 判决, 判断
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
tumultuous,"a. 吵闹的, 纷乱的, 骚乱的
"
perplexing,"a. 令人费解的, 令人困惑的"
truly,"adv. 真实地, 不假"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
contribution,"n. 捐助, 捐助之物, 贡献
"
faith,"n. 信心, 信任, 忠实, 保证
"
intrinsic,"a. 本质的, 原有的, 真正的
"
necessary,a. 必要的；必然的；必需的
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
amazed,"a. 吃惊的, 惊奇的"
witty,"a. 富于机智的, 诙谐的"
reverend,"n. 教士, 大人(对教士的尊称)
a. 应受尊敬的, 教士的"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
advised,"a. 考虑过的, 知情的
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
confute,"vt. 驳倒, 驳斥
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
monarch,"n. 帝王, 统治者, 元首
"
diminish,"v. (使)减少, (使)变小"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
propriety,"n. 礼貌, 规矩, 适当
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
allied,"a. 联盟的, 联姻的, 联系起来的"
declare,"v. 宣布, 声明, 申报, 断言"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
funeral,"n. 葬礼, 出殡"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
ponder,"v. 沉思, 考虑"
refusal,"n. 拒绝, 推却, 优先决定权
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
distinct,"a. 清楚的, 显著的, 不同的"
mirthless,"a. 不快乐的, 悲伤的, 阴郁的"
citizen,"n. 市民, 公民
"
altar,"n. 圣坛, 祭坛"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
worthless,"a. 无价值的, 无益的, 无足轻重的
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
fugitive,"a. 逃亡的, 短暂的, 难捉摸的
n. 逃亡者, 亡命者, 难捕捉之物"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
victim,"n. 受害人, 牺牲者, 牺牲品
"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
