able,"a. 能干的, 能够的"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
furniture,"n. 家具, 帆具"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
cape,"n. 岬, 海角, 披肩, 斗蓬"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
shirt,"n. 衬衫, 内衣, 汗衫"
jeans,"n. 工装裤, 牛仔裤"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
hat,"n. 帽子
vt. 给...戴帽子"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
cloth,"n. 布料, 织品, 布
"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
career,"n. 事业, 生涯, 成功
"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
cash,"n. 现金
vt. 兑现"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
currency,"n. 货币, 通货, 流通, 通用
"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
salary,"n. 薪水
vt. 给...加薪"
income,"n. 收入, 收益, 流入
"
earn,"vt. 赚得, 获得, 博得
"
wallet,"n. 皮夹
"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
worth,"n. 价值, 财产
a. 值...的, 值得的"
dear,"n. 亲爱的人
a. 亲爱的, 昂贵的, 严重的, 急迫的
interj. 啊
adv. 深爱地, 高价地"
darling,"n. 亲爱的, 可爱的人, 可爱的物
a. 可爱的, 亲爱的"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
cancer,"n. 癌, 恶性肿瘤
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
disease,"n. 疾病, 弊病
"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
temperature,"n. 温度, 发烧, 热度
"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
example,"n. 例子, 样本, 实例
"
situation,"n. 情形, 境遇, 位置
"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
palace,"n. 宫, 宫殿, 华丽大厦"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
cottage,"n. 小屋, 茅舍"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
kitchen,"n. 厨房, 全套炊具
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
chimney,"n. 烟囱, 灯罩
"
smog,"n. 烟雾
"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
tobacco,"n. 烟草, 香烟
"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
bee,"n. 蜜蜂, 聚会"
cattle,"n. 牛, 家畜
"
cow,"n. 母牛, 母兽
vt. 威胁"
ox,n. 牛
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
cock,"n. 公鸡, 雄禽, 龙头, 头目, 锥形小干草堆
vt. 使耸立, 使竖起, 堆成锥形小干草堆
vi. 大摇大摆地走, 翘起"
hen,"n. 母鸡, 雌禽"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
goose,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗
vt. 与...性交, 突然加大油门, 使生色, 喝倒彩"
feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
zebra,n. 斑马
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
goat,"n. 山羊, 替罪羊, 色鬼"
sheep,"n. 羊, 胆小者"
frog,"n. 青蛙
"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
panda,"n. 大熊猫, 小熊猫"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
elephant,n. 象
tiger,"n. 老虎, 虎, 凶暴的人"
monster,"n. 怪物, 恶人, 巨物
"
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气
a. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的
vt. 宠爱, 溺爱, 抚摸
vi. 拥抱, 爱抚, 生气, 发脾气"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
cell,"n. 单元, 细胞, 电池
"
nucleus,"n. 核心, 核子, 原子核, 起点
"
organism,"n. 生物, 有机体, 社会组织
"
cent,"n. 分
"
penny,"n. 便士, 一分, 小钱, 点滴
"
per,"prep. 每一, 通过, 经, 按照
"
percent,"n. 百分比, 百分数, 部分
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
third,"num. 第三, 三分之一
"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
chairman,"n. 主席, 会长
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mayor,"n. 市长
"
headmaster,"n. (中小学)校长, 监工"
manager,"n. 经理, 管理员, 管理器
"
government,"n. 政府, 内阁
"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
secretary,"n. 秘书, 书记, 大臣
"
chalk,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
college,"n. 学院, 大学, 学会"
university,n. 大学
classroom,n. 教室
professor,n. 教授
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
teacher,"n. 教师, 老师, 导师"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
student,"n. 学生, 研究者, 学者"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
learn,vt. 学习；认识到；得知
educate,"vt. 教育, 培养, 训练"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
lesson,"n. 课, 课业, 教训"
homework,"n. 家庭作业, 家里做的工作
"
semester,n. 学期
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
holiday,"n. 假日, 假期, 节日
vi. 度假"
vacation,"n. 假期, 休假
"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
happen,"vi. 发生, 发生, 恰巧"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
sudden,"n. 突然, 忽然
a. 突然的, 意外的, 快速的"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
fortunate,"a. 幸运的, 幸福的"
lottery,"n. 奖券, 彩票, 运气
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
conversation,"n. 会话, 说话, 交谈
"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
chart,"n. 图表, 海图
vt. 制成图表
"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
hall,"n. 门厅, 走廊, 会堂"
religion,"n. 宗教, 信仰
"
bible,n. 圣经
god,"n. 上帝, 神像, 偶像
vt. 使神化"
bless,"vt. 祝福, 祈佑, 使神圣化"
heaven,"n. 天堂, 上帝, 天空"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
hell,"n. 地狱, 邪恶势力, 苦境, 阴间, 毁坏, 训斥
vi. 狂饮, 飞驰"
cinema,"n. 电影院, 电影"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
movie,n. 电影
opera,n. 歌剧
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
director,"n. 主管, 导演, 董事
"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
actor,"n. 男演员, 行动者
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
citizen,"n. 市民, 公民
"
town,"n. 城镇, 市, 镇
"
peasant,"n. 农夫, 乡下人"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
person,"n. 人, 人身, 人称
"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
mankind,"n. 人类, 男性"
population,"n. 人口, 人口数
"
boy,"n. 男孩
"
girl,"n. 女孩, 少女, 女佣"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
pollute,"vt. 污染, 弄脏, 玷污
"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
cocaine,"n. 可卡因, 古柯碱
"
heroin,"n. 海洛因, 吗啡
"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
together,"adv. 一起, 共同, 彼此"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
connect,"v. 连接, 联合, 联系"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
communism,n. 共产主义
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
usual,"a. 平常的, 通常的"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
especially,"adv. 尤其, 特别, 格外"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
comrade,"n. 同志, 伙伴"
partnership,"n. 合伙, 合股, 合作关系
"
friend,"n. 朋友, 支持者, 赞助者
"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
conference,"n. 会议
"
discuss,"vt. 讨论, 论述
"
meeting,"n. 会议, 会面
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
include,"vt. 包括, 把...算入, 包住
"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
continent,"n. 大陆, 洲
a. 自制的"
mainland,"n. 大陆, 本土
"
inland,"a. 内陆的, 国内的
n. 内地"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
sea,"n. 海, 海洋, 海浪, 大量
"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
wheat,n. 小麦
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
barn,"n. 谷仓
"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
fertiliser,[化] 肥料
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
definitely,"adv. 明确无疑地, 清楚地"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
error,"n. 错误, 过失, 失误, 误差
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
few,"a. 很少的, 不多的, 少数的
n. 少数"
majority,"n. 多数, 大半
"
quantity,"n. 量, 数量, 总量
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
village,"n. 村庄
a. 乡村的, 村庄的"
nation,"n. 国家, 民族
"
courtyard,"n. 庭院, 天井"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
crazy,"a. 发狂的, 狂热的"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
fever,"n. 发烧, 发热, 热病
"
zeal,"n. 热心, 热衷, 热诚"
eager,"a. 热心的, 渴望的, 热望的"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
create,"vt. 创造, 建造, 引起, 任命"
cruel,"a. 残酷的, 令人极痛苦的
"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
