accustom,vt. 使习惯于
disposable,"a. 可任意处理的
"
dissimilar,"a. 不同的, 相异的"
distinctive,"a. 有特色的, 出众的"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
"
diversity,"n. 差异, 多样性
"
divisible,"a. 可分的, 可分割的, 除得尽的
"
done,"a. 完成了的, 好了的
do的过去分词"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
doubtless,"a. 无疑的, 确定的
adv. 无疑地, 确定地"
dreadful,a. 可怕的
dual,"a. 双重的, 双的
n. 双数"
ellipse,"n. 椭圆, 椭圆形
"
elliptical,"a. 椭圆的
"
endless,"a. 不停的, 无穷尽的, 无尽的
"
endurable,"a. 可忍受的, 能忍耐的"
endurance,"n. 忍耐, 忍耐力, 耐性
"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
entirety,"n. 全部, 整体
"
eventual,"a. 最后的, 终于的"
eventuality,"n. 可能发生的事, 可能性"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
existent,"a. 存在的, 生存的, 现存的
"
explanatory,"a. 说明的, 解释的, 辩明的
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
factual,"a. 事实的, 实际的
"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
faultless,"a. 完美的, 无缺点的
"
fearful,"a. 可怕的, 恐怕的, 担心的"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
fingernail,n. 手指甲
fireproof,"a. 耐火的, 防火的
vi. 变成有耐火性"
fireside,"n. 炉边, 家庭, 家庭生活
a. 在火炉边的, 非正式的"
footbridge,n. 人行桥
footpath,"n. 步道, 人行道, 小路"
fraction,"n. 小部分, 破片, 分数
"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
fragrance,"n. 芬芳, 香味"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
frightening,a. 令人恐惧的；引起突然惊恐的
frightful,"a. 可怕的, 惊人的, 丑的, 非常的"
gigantic,"a. 巨人般的, 巨大的"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
glossy,"a. 平滑的, 有光泽的"
habitable,"a. 适于居住的, 可居住的"
hardness,"n. 坚硬, 困难, 严厉, 勇气
"
helpful,"a. 有帮助的, 有益的, 有用的"
helpless,"a. 无助的, 无能为力的, 无依无靠的"
hidden,"a. 隐藏的
hide的过去分词
"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
hiding,"n. 隐匿, 隐藏之事, 隐匿之所, 痛打
"
high-sounding,adj. 夸张的
identical,"a. 同一的, 恒等的, 完全相同的
"
illogical,"a. 不合逻辑的, 无缘由的
"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
imposing,"a. 令人难忘的, 壮丽的, 威风的"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
inappropriate,"a. 不适当的, 不相称的"
incomparable,"a. 无比的, 不能比较的"
indecent,"a. 下流的, 不礼貌的
"
indefinable,"a. 不能下定义的, 不确定的"
indefinite,"a. 模糊的, 不确定的, 无限的
"
inimitable,"a. 无法仿效的, 独特的, 无比的"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
invisible,"a. 看不见的, 无形的
"
inviting,"a. 引人动心的, 有魅力的
"
involved,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
limitedly,adv. 有限地
unlimited,"a. 无限的, 不受限制的, 无条件的
"
logical,"a. 合乎逻辑的, 合理的
"
logically,"adv. 逻辑, 合乎逻辑, 符合逻辑, 逻辑上, 有逻辑, 有逻辑头脑, 合理, 明智"
illogical,"a. 不合逻辑的, 无缘由的
"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
magical,"a. 魔术的, 有魔力的, 不可思议的"
marked,"a. 有记号的, 显著的, 醒目的
"
memorable,"a. 值得纪念的, 难忘的"
metallic,"a. 金属的, 含金属的, 产生金属的
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
miniaturization,"n. 微型化
"
miracle,"n. 奇迹, 奇事"
miraculous,"a. 奇迹的, 不可思议的"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
mysterious,"a. 神秘的, 难解的, 不可思议的"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
notably,"adv. 显著地, 著名地, 尤其, 特别"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
oblong,"n. 长方形, 长椭圆形
a. 长方形的, 长椭圆形的"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
peculiarity,"n. 特质, 特性, 怪癖"
perfection,"n. 完美, 完成, 极端
"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
plentiful,"a. 许多的, 丰富的, 丰饶的"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
provocation,"n. 激怒, 刺激, 挑拨
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
reappear,vi. 再出现
reddish,"a. 微红的, 略带红色的"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
reliability,"n. 信度, 可靠性
"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
repetitive,"a. 重复的, 反复性的"
ridiculous,"a. 荒谬的, 可笑的"
rugged,"a. 高低不平的, 崎岖的, 粗糙的"
sanguinary,"a. 流血的, 血腥的, 嗜血的"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
shaky,"a. 震动的, 摇晃的, 动摇的"
shockproof,a. 防震的
shortcoming,"n. 缺点, 短处"
smelly,"a. 发臭的, 有臭味的"
smoky,"a. 冒烟的, 满是烟的, 熏脏的, 烟灰色的"
soapy,"a. 涂着肥皂的, 谄媚的, 圆滑的"
softly,"adv. 柔和地, 静静地, 温柔地"
solemn,"a. 严肃的, 郑重的, 庄严的"
spacious,"a. 广大的, 宽广的"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
"
stagnation,"n. 淤塞, 停滞
"
stainless,"a. 无瑕疵的, 不锈的
"
starry,"a. 星光照耀的, 多星的, 星形的, 明亮的"
sticky,"a. 粘的, 有粘性的, 顽固的"
stiffen,"vt. 使变硬, 使僵硬, 使顽强, 使严厉
vi. 变粘, 变硬, 变强烈"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
strikingly,"adv. 显著地, 惊人地, 引人注目地"
substandard,"a. 标准以下的, 不合规格的
"
systematic,"a. 有系统的, 分类上的, 体系的
"
terrific,"a. 非常好的, 极端的, 可怕的"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
tinkle,"n. 叮当声
vt. 使发丁当的声, 叮当地发出
vi. 叮当作响"
tiresome,"a. 累人的, 烦人的"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
torrential,"a. 奔流的, 急流的, 猛烈的"
tragic,"a. 悲惨的, 悲剧的"
tranquil,a. 安静的
tranquility,n. 宁静
tremendous,"a. 巨大的, 非常的, 可怕的"
troublesome,"a. 麻烦的, 令人讨厌的"
truthful,"a. 说真话的, 诚实的, 真实的, 如实的
"
unacceptable,"a. 无法接受的, 不受欢迎的
"
unaffected,"a. 不矫揉造作的, 自然的, 未受影响的, 未被感动的
"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
understandable,a. 可以理解的
undoubted,"a. 无疑的, 确实的
"
unforgettable,"a. 忘不了的, 令人难忘的"
untimely,"a. 不到时候的, 不合时令的, 不适时的"
urgent,"a. 紧急的, 急迫的, 催逼的
"
vague,"a. 含糊的, 不清楚的, 茫然的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
watertight,"a. 不透水的, 不漏水的, 无懈可击的
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
wooden,"a. 木制的, 呆笨的, 木然的"
woolen,"n. 毛制品
a. 羊毛的, 羊毛制的, 毛织的"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
angular,"a. 有角的, 消瘦的, 有尖角的, 生硬的
"
arrogant,"a. 自大的, 傲慢的"
aspect,"n. 外观, 方面, 面貌, 方向
"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
inconsiderate,"a. 不顾别人的, 轻率的"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
courteous,"a. 彬彬有礼, 谦恭的"
courtesy,"n. 礼貌, 谦恭, 好意
"
courteous,"a. 彬彬有礼, 谦恭的"
crafty,"a. 狡诈的, 诡计多端的, 巧妙的"
credible,"a. 可信的, 可靠的
"
credulous,"a. 轻信的, 易受骗的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
despair,"n. 绝望, 失望
vi. 绝望"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
drowsy,"a. 昏昏欲睡的
"
dumb,"a. 哑的, 不说话的, 无声音的
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extravagantly,adv. 挥霍无度地
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
extremely,"adv. 极端地, 非常地"
extremist,[经] 偏激份子
fame,"n. 名望, 名声, 传说"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
fiery,"a. 炽热的, 热烈的, 暴躁的"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
hearty,"a. 诚恳的, 健壮的, 热烈的, 丰盛的"
hoarse,"a. 沙哑的, 嘶哑的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identifiable,"a. 可辨认的
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
inadequate,"a. 不充分的, 不适当的
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
indifferently,"adv. 不关心地, 冷淡地, 淡然地"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
inherent,"a. 固有的, 与生俱来的
"
inherently,"adv. 内在地, 生来地, 固有地
"
lovable,"a. 可爱的, 惹人爱的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
maturity,"n. 成熟, 完备, 到期
"
prematurely,"adv. 过早地, 贸然地"
naive,"a. 天真的, 纯真的, 幼稚的"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
reliable,"a. 可靠的, 可信赖的
"
reliability,"n. 信度, 可靠性
"
reliably,"adv. 可靠地, 可信赖地"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
correspond,"vi. 符合, 通信, 相当
"
response,"n. 反应, 回答, 响应
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
rigidly,adv. 严格地；坚硬地；严厉地；牢牢地
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
ruthlessly,"adv. 无情地, 冷酷地, 残忍地"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
sceptical,"a. 怀疑论的, 怀疑的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
sensitivity,"n. 敏感, 灵敏度
"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
sophisticate,"n. 久经世故的人, 精于...之道的人
vt. 篡改, 曲解, 使变得世故, 掺合, 弄复杂
vi. 诡辩"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
stiffness,"n. 坚硬, 呆板, 刻板
"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
bad-tempered,"adj. 暴躁的
"
tempered,"a. 回火的, 缓和的, 脾气...的"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
timid,"a. 胆小的, 羞怯的"
timidity,"n. 胆小, 胆怯, 羞怯"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
weariness,"n. 疲倦, 厌倦, 疲劳"
absent-minded,"adj. 茫然的
"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
disappearance,"n. 看不见, 失踪, 消失"
aptitude,"n. 资质, 才能, 自然倾向
"
argumentative,"a. 好辩的, 引起争论的, 论证式的
"
attractive,"a. 吸引人的, 有魅力的
"
unattractive,"a. 无吸引力的, 无魅力的, 乏味的, 不美的"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
blond,"a. 金发的
n. 白肤碧眼金发的人"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
bookish,"a. 好读书的, 书呆子的"
bossy,"a. 专横的, 浮雕装饰的"
bravery,n. 勇敢
breathless,"a. 喘不过气来的, 屏气的, 气喘吁吁的, 无风的, 死的"
brute,"n. 畜生, 残忍或好色之人
a. 残忍的, 无理性的, 畜生的"
bushy,"a. 灌木一样的, 灌木茂密的, 浓密的"
celebrated,"a. 驰名的, 有名的"
celebrity,"n. 名声, 名人"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
chatterbox,n. 喋喋不休者
childhood,"n. 孩童时期
"
childish,"a. 天真的, 孩子气的"
chin,"n. 下巴, 颏
"
committed,"a. 献身于某种事业的
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
contributor,"n. 贡献者, 捐助者, 赠送者, 投稿者
"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
deaf,"a. 聋的
"
deafen,"vt. 使聋
vi. 变聋"
demanding,"a. 要求高的, 费力的"
demerit,"n. 缺点, 短处, 过失"
distinguished,"a. 卓著的, 著名的"
dogged,"a. 顽固的, 顽强的"
dutiful,"a. 尽职的, 忠实的, 顺从的, 守本分的"
elderly,"a. 过了中年的, 稍老的"
eloquence,"n. 口才, 雄辩术, 雄辩
"
emergence,"n. 出现, 浮现, 发生"
eminence,"n. 显赫, 名家, 高处
"
energetic,"a. 精力充沛的, 积极的"
excellence,"n. 优秀, 卓越, 优点"
excitable,"a. 能被激动的, 易兴奋的, 易怒的
"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
excitement,"n. 刺激, 兴奋
"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
expressive,"a. 表达的, 富于表情的"
eyebrow,"n. 眉毛
"
eyesight,"n. 视力, 目力"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
fanatic,"n. 狂热者, 盲信
a. 狂热的, 盲信的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
feminine,"a. 女性的, 阴性的, 柔弱的
"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
fleshy,"a. 肉的, 肉体的"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
footprint,"n. 足迹
"
footstep,"n. 脚步, 脚步声, 足迹"
forehead,"n. 额, 前额, 前部
"
foresight,"n. 远见, 深谋远虑
"
forgetful,"a. 健忘的, 易忘的"
freely,"adv. 自由地, 随意地, 无拘束地, 直率地, 坦白地, 慷慨地, 免费地, 大量地
"
fright,"n. 惊骇, 吃惊
"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
gambler,"n. 赌博者, 赌徒
"
generosity,"n. 慷慨, 宽大"
gifted,a. 有天才的
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamorous,"a. 富有魅力的, 迷人的"
glamourous,"a. 迷人的, 美丽动人的, 富有魅力的, 富有迷惑力的"
good-hearted,a. 好心肠的
good-looking,"貌美的,漂亮的"
goodness,"n. 仁慈, 善良"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
greed,"n. 贪欲, 贪婪"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
halting,"a. 跛的, 蹒跚的, 犹豫的"
hardworking,"a. 苦干的, 不辞辛劳的"
heartbreak,"n. 心碎, 伤心事"
heartbreaking,"a. 令人悲伤的, 极其累人的, 令人动情的"
heartbroken,a. 心碎的
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
high-pitched,"a. 调子高的, 紧张的"
homesick,"a. 思家的, 思乡病的"
hospitable,"a. 好客的, 招待周到的"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
humiliating,"a. 丢脸的, 耻辱的, 羞愧的"
hurried,"a. 匆忙的, 仓促的, 草率的"
hypocritical,"a. 伪善的, 伪善者的"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
idealist,"n. 理想主义者, 唯心主义者
a. 唯心论的, 理想主义的"
idiot,"n. 白痴, 极蠢之人
"
ignorance,"n. 无知, 愚味
"
illiteracy,"n. 文盲, 无知"
imaginative,"a. 想像的, 虚构的"
imbecility,"n. 低能, 愚钝, 愚蠢言行
"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
impatience,"n. 性急, 难耐, 焦急, 急躁"
impolite,"a. 无礼的, 粗鲁的"
individuality,"n. 个性, 个人, 特征"
indulgent,"a. 纵容的, 任性的, 宽容的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
insensibility,"n. 无感觉, 不在乎, 不关心
"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
insincere,"a. 不诚实的, 无诚意的, 伪善的"
insistent,"a. 坚持的, 迫切的"
insulting,"a. 侮辱的, 损害人体的"
intolerable,"a. 无法忍受的, 难耐的"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
inventive,"a. 善于创造的, 发明的"
inventiveness,"n. 发明创造能力, 创造性"
kindly,"a. 和蔼的, 温和的, 爽快的
adv. 温和地, 亲切地"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
lonesome,a. 寂寞的
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
masculinity,"n. 男子气, 刚毅, 大丈夫气概
"
modesty,"n. 谦逊, 质朴, 羞怯"
monster,"n. 怪物, 恶人, 巨物
"
monstrous,"a. 巨大的, 畸形的, 怪异的
"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
noted,"a. 著名的, 显著的, 扬名的"
patience,"n. 耐性, 忍耐"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
prestigious,a. 享有声望的
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
rascal,"n. 流氓, 无赖, 坏蛋, 淘气鬼
"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
reluctance,"n. 不情愿, 勉强
"
resemble,"vt. 相似, 类似"
resemblance,"n. 相似处, 类似, 肖像"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
seasick,a. 晕船的
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
shortsighted,"a. 近视的, 目光短浅的, 缺乏想像力的"
sleepy,"a. 困乏的, 欲睡的"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
smack,"n. 风味, 滋味, 少量, 拍击声, 咂嘴声, 小渔船, 海洛因
vi. 有味道, 咂嘴, 发出拍击声
vt. 拍, 打, 掴, 咂, 出声地吻
adv. 啪地一声, 猛然"
solitary,"n. 独居者
a. 孤独的, 独居的"
sophisticated,"a. 复杂的, 久经世故的
"
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
stealthy,"a. 秘密的, 掩人耳目的, 鬼鬼祟祟的
"
stony,"a. 多石的, 无情的"
sulky,"a. 生气的, 阴沉的"
talented,"a. 天资高的, 有才能的"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
temperament,"n. 气质, 性格, 性情
"
temperamental,"a. 气质的, 性格的, 易兴奋的"
thoughtful,"a. 深思的, 体贴的"
thoughtless,"a. 欠考虑的, 无深虑的, 轻率的"
thrifty,"a. 节俭的, 兴旺的, 繁茂的"
tiptoe,"n. 脚尖
vi. 用脚尖走
adv. 踮着脚
a. 踮着脚走的, 偷偷摸摸的"
