nursery,"n. 托儿所, 苗圃, 温床
"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
incredible,a. 难以置信的
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
domestic,"a. 家庭的, 国内的, 驯养的
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
combination,"n. 组合, 合并, 联合
"
mismatch,"n. 错配
vt. 错配, 使...成不相配的婚姻"
myth,"n. 神话, 虚构的事, 虚构的人"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
journalism,"n. 新闻业, 报章杂志
"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motivation,"n. 动机, 刺激, 推动
"
convey,"vt. 传达, 运输, 转让
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
reschedule,
expansion,"n. 扩充, 开展, 膨胀
"
instinct,"n. 本能, 直觉
a. 充满着的"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
universality,"n. 普遍性, 一般性, 广泛性
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
documentary,"n. 记录片
a. 文件的"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
revision,"n. 校订, 修正, 修订本, 修订版
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
functional,"a. 功能的
"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
alphabet,"n. 字母
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
evident,"a. 显然的, 明显的"
deficiency,"n. 缺乏, 不足
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
distort,"vt. 扭曲, 歪曲
"
exaggerate,"v. 夸大, 夸张"
correction,"n. 订正, 改正, 改正的地方
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
aware,"a. 知道的, 有觉悟的"
unaware,"a. 未认识到的, 不知道的
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
unparalleled,"a. 无比的, 无双的, 空前的"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
thesis,"n. 论题, 论文"
innovative,"a. 革新的, 创新的, 富有革新精神的"
drawback,"n. 缺点, 退税
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
carve,"v. 雕刻, 切开"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
conceive,"vt. 构思, 认为
vi. 怀孕"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
crucial,"a. 决定性的, 重要的, 严厉的
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
enormous,"a. 巨大的, 庞大的"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
underlie,"vt. 位于...之下, 成为...的基础"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
symptom,"n. 症状, 征候, 征兆
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
adequate,"a. 适当的, 足够的
"
predecessor,"n. 前任, 先辈, 前身
"
commodity,"n. 农产品, 商品, 有用的物品
"
illusion,"n. 幻影, 错觉, 幻想
"
appoint,"vt. 任命, 指定, 下令
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
architect,"n. 建筑师, 设计者, 缔造者"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
nasty,"a. 污秽的, 下流的, 险恶的"
erupt,"vi. 爆发
vt. 喷出"
capacity,"n. 容量, 能力, 才能, 资格
"
artificial,"a. 人造的, 假的, 非原地产的
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
procedure,"n. 程序, 过程, 手续
"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
comparative,"a. 比较的, 相对的
n. 对手"
municipal,"a. 市政的, 自治区的, 内政的
"
authorise,vt. 授权；批准；允许；委任（等于authorize）
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
envision,"vt. 想象, 预想"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
ensure,"vt. 确定, 保证, 担保, 保护
"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
asset,"n. 资产, 有益的东西"
analyse,"vt. 分析, 细察, 分解
"
discourage,"vt. 使气馁, 阻碍"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
strive,"vi. 努力, 奋斗, 斗争"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
ware,"n. 物品, 器具, 货物, 商品, 陶器
vt. 留心, 小心
a. 知道的, 意识到的, 留神的"
compensate,"v. 偿还, 补偿, 付报酬"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
criterion,"n. 标准, 准则, 规范
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
subjective,"a. 主观的, 个人的
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refinement,"n. 精致, 高尚, 精巧
"
council,"n. 会议, 委员会
"
provoke,"vt. 激怒, 惹起, 诱导
"
provocation,"n. 激怒, 刺激, 挑拨
"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
offspring,"n. 子孙, 后代, 产物
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
restate,"vt. 重新叙述, 重申
"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
ethic,"n. 道德规范, 伦理"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
thereby,adv. 因此
domain,"n. 领域, 领土, 产业, 范围
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
coastline,n. 海岸线
devastate,"vt. 毁坏
"
utilise,"vt. 利用, 运用, 使用"
formula,"n. 客套语, 公式, 准则
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
formulation,"n. 系统陈述, 公式化, 配制
"
dominate,"v. 支配, 占优势"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
questionable,"a. 可疑的
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
convention,"n. 大会, 协定, 惯例, 约定
"
conventional,"a. 传统的, 习惯的, 约定的
"
artefact,"n. 人工制品, 制造物, 人为现象, 膺象, 矫作物, 古代文物
"
immigrant,"n. 移民
a. 移入的, 移民的"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
rival,"n. 对手, 竞争者
a. 竞争的"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
recruiter,"n. 招聘人员, 征兵人员"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
efficient,"a. 有效率的, 能干的"
emphasis,"n. 强调, 加强, 重点, 强语气"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
vitality,"n. 活力, 生命力
"
multiply,"v. 繁殖, 乘, 增加
"
archaeologist,n. 考古学家
aggressive,"a. 侵略的, 挑畔的, 进取的
"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
ratio,"n. 比, 比率
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
analytical,"a. 分析的, 善于分析的, 解析的
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
dispute,"n. 争论
v. 争论"
explosion,"n. 爆发, 激增, 爆炸(声)
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
infrastructure,"n. 基础结构, 基础设施
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
typify,"vt. 代表, 象征, 为...之典型"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
emission,"n. 发射, 射出, 发行
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
medication,"n. 药物治疗, 药物处理, 医药
"
bizarre,a. 奇异的
sensible,"a. 有感觉的, 敏感的, 明智的
"
linguistic,"a. 语言的, 语言学的
"
prehistoric,"a. 历史以前的, 史前的"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
underestimate,"n. 低估
vt. 低估, 看轻"
applaud,"v. 拍手喝彩, 称赞, 赞同"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
aspect,"n. 外观, 方面, 面貌, 方向
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
extensive,"a. 广的, 广泛的, 多方面的
"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
vague,"a. 含糊的, 不清楚的, 茫然的"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
outlook,"n. 观点, 景色, 前途, 了望
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
elementary,"a. 初步的, 基本的
"
energetic,"a. 精力充沛的, 积极的"
speculate,"vi. 深思, 推测, 投机
"
dawn,"n. 破晓, 黎明
vi. 破晓"
abolish,"vt. 废止, 革除, 消灭
"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
celebrity,"n. 名声, 名人"
applicable,"a. 合适的, 可应用的
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
discern,"v. 辨别, 看清楚, 了解"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
distinct,"a. 清楚的, 显著的, 不同的"
distinction,n. 区别
distinctly,"adv. 显然地, 明显地, 清楚地"
distinctive,"a. 有特色的, 出众的"
governance,"n. 统治, 统辖, 管理
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
awkward,"a. 笨拙的, 棘手的"
sceptical,"a. 怀疑论的, 怀疑的"
authentic,"a. 可靠的, 可信的, 真正的
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
essence,"n. 实质, 本质, 香精
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
restrict,"vt. 限制, 限定, 约束
"
intervene,"vi. 插入, 调停, 干涉
"
intervention,"n. 插入, 介入, 调停
"
fragile,"a. 易碎的, 脆的
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
radiation,"n. 辐射
"
testify,"v. 证明, 作证, 声明, 表明"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
circumstance,"n. 环境, 状况, 事件"
consequence,"n. 结果, 重要性
"
undergo,"vt. 遭受, 经历, 忍受
"
assign,"vt. 分配, 指派, 赋值
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
sensational,"a. 使人感动的, 非常好的"
consultant,"n. 顾问, 征询意见者
"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
exert,"vt. 发挥, 运用, 施以影响
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
mobility,"n. 可动性, 流动性, 机动性
"
barrel,"n. 桶
vt. 装入桶内"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
justification,"n. 辩护, 证明正当, 释罪
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
resent,"vt. 愤恨, 憎恶, 怨恨"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
barely,adv. 几乎不
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
vessel,"n. 船, 容器, 脉管
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
strategy,"n. 战略, 策略
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
exclude,"vt. 除外, 排除, 排斥
"
petal,"n. 花瓣
"
obstacle,"n. 障碍, 妨害物, 阻碍"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
thorough,"a. 十分的, 彻底的"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
internal,"a. 内在的, 国内的
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
convince,"vt. 说服, 使相信
"
demonstrate,"vt. 示范, 证明
vi. 示威"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
abound,"vi. 大量存在, 富于, 充满"
distrust,"n. 不信任
vt. 不信任"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
newsletter,"n. 时事通讯, 业务通讯, 时事传报
"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elimination,"n. 除去, 消除, 消灭
"
cautious,"a. 谨慎的, 小心的"
coexistence,"n. 共存, 和平共处, 并立"
compel,"vt. 强迫, 迫使"
appropriate,"a. 适当的
"
inappropriate,"a. 不适当的, 不相称的"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
autonomous,"a. 自治的
"
viable,"a. 能养活的, 能生长发育的
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
liberate,"vt. 解放, 释放, 使自由
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
literary,"a. 文学的, 文艺的, 精通文学的
"
ingredient,"n. 成分, 因素
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
immigration,"n. 移民, 移居
"
trait,"n. 特征, 特性, 一笔, 少许"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impressive,"a. 给人深刻印象的, 威严的"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
correspond,"vi. 符合, 通信, 相当
"
furnish,"vt. 供给, 提供, 装设
"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
