heated,"a. 热的, 激昂的, 兴奋的"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
residency,"n. 住处
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
considered,"a. 考虑过的, 被尊重的"
dwell,"vi. 居住, 居住(于), 存在(于)"
confident,"a. 有信心的, 有把握的"
butterfly,"n. 蝴蝶
"
abdomen,"n. 腹部
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anticipation,"n. 预期, 预料
"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
compound fracture,"[医] 哆开骨折, 有创骨折"
inevitably,adv. 不可避免地
inevitable,"a. 不可避免的, 必然的
"
err,"vi. 犯错, 做错, 犯罪
"
surgery,"n. 外科, 手术, 手术室, 换球术"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
conceited,"a. 自负的, 逞能的, 狂想的"
conceit,"n. 自负, 空想, 狂妄"
trying,"a. 难受的, 难堪的
"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
draw to a close,渐近结束
live with, 与…一起生活; 与（异性）同居; 学会去适应; 接受并忍受
dwell on,"细想, 详述"
in practice,"在实践中, 实际上, 熟练"
butterflies in the stomach,n. 神经质的发抖
open up,"na. (打)开；割开；开发(资源)；揭示
"
in advance,"预先
"
at one time or another,在某个时候
sit on,"为...的一员, 开会讨论, 审理, 拖延, 管教
"
mud,"n. 泥, 诽谤
vt. 弄脏"
camel,"n. 骆驼, 打捞浮筒"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
petrol,"n. 汽油
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
injection,"n. 注射, 注射剂
"
ambulance,"n. 救护车
"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
tough-looking,a. 丑恶的
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
dealer,"n. 经销商, 商人
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
urinate,"vi. 小便, 撒尿
"
illusion,"n. 幻影, 错觉, 幻想
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
gunshot,"n. 枪弹, (枪炮)射击, 炮击, 射程
a. 射击的"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
custody,"n. 监护, 拘留, 监禁
"
pray,"v. 祈祷, 恳求, 请"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
jeans,"n. 工装裤, 牛仔裤"
property,"n. 财产, 所有权, 性质, 属性
"
heartbeat,n. 心跳
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
thug,"n. 恶棍, 刺客, 凶手
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
pusher,"n. 推者, 推销员
"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
cautious,"a. 谨慎的, 小心的"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
organization,"n. 组织, 结构, 团体, 体制
"
leadership,"n. 领导能力, 领导阶层"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
right off,立刻
right away,立刻
move in,"生活于, 迁入"
shoot up,"射出, 发芽, 暴涨"
hang out,挂出
rise to, 上升到
addicted to, 对···有瘾
be addicted to,沉迷于…
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
check on,"检查,核对"
check in,"登记, 报到
"
take to,"na. 嗜好；开始；参加；逃入
"
talk back,"顶嘴, 反驳"
take a stand,採取某种立场
set ... on fire, 激起
set fire to,点燃
step up,"v. 加紧；走上前；登上；增加
"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
get through to sb.,"打通…电话;使自己被…理解,把自己的意思对…讲明白"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
strap,"n. 带, 皮带
vt. (用皮带)捆扎"
violently,"adv. 猛烈地, 激烈地, 极端地"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
furnished,"a. 家具, 有家具的"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
towel,"n. 手巾, 毛巾
v. 擦干身子"
drip,"n. 水滴
v. (使)滴下"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
devilish,"a. 魔鬼似的, 该咒骂的, 可恶的, 邪恶的, 凶暴的, 异常的, 过分的, 非常的
adv. (非正式)非常, 过分地, 极"
honesty,"n. 诚实, 公正, 正直"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
response,"n. 反应, 回答, 响应
"
temptation,"n. 诱惑, 诱惑物
"
peek,"vi. 偷看, 窥视
n. 偷看, 看一眼"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
indication,"n. 指示, 象征, 暗示
"
competency,"n. 足以使人过舒适生活的富裕收入, 充裕的生活条件
"
competence,"n. 胜任, 职称, 能力
"
diploma,"n. 文凭, 毕业证书
"
corresponding,"a. 相当的, 一致的, 通信的
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
crime,"n. 犯罪, 罪行, 罪恶
"
misdemeanor,"n. 行为不检, 品行不良, 轻罪, 不端行为"
misdemeanour,"n. 行为不端
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
regent,"n. 摄政者, 摄政王
a. 摄政的"
traditional,"a. 传统的, 惯例的
"
tradition,"n. 传说, 传统, 交付
"
requirement,"n. 需求, 必要条件, 要求
"
prewritten,a. 预先写的
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
proctor,"n. 代理人, 监考人, 代诉人
"
ID card,身份证
dorm,n. 宿舍
mug,"n. 有柄大杯, 脸, 苦读者
vt. 给...拍照, 攻击, 苦读
vi. 拼命用功"
mug shot,"面部照片, 嫌疑犯照片"
ringer,"n. 套环, 投环, 按铃者, 敲钟者"
applaud,"v. 拍手喝彩, 称赞, 赞同"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
speeder,"n. 调速装置, 超速驾车者
"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
myth,"n. 神话, 虚构的事, 虚构的人"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
cherry,"n. 樱桃, 樱桃树, 樱桃色
"
biographer,n. 传记作者
ax,"n. 斧头
vt. 用斧削或砍, 削减"
axe,"n. 斧, 斧头
vt. 削减(人员、经费、计划、机构等)"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
check-out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
supermarket,"n. 超级市场
"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
inn,"n. 旅馆, 客栈
vi. 住旅馆"
towel,"n. 手巾, 毛巾
v. 擦干身子"
numerous,"a. 很多的, 数目众多的, 多数的
"
watch-dog,"监控器,监控设备,信号器"
dishonesty,"n. 不诚实
"
evidence,"n. 根据, 证据, 迹象
"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
economy,"n. 经济, 理财, 节约
"
anyway,"adv. 无论如何, 至少"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
systematic,"a. 有系统的, 分类上的, 体系的
"
distrust,"n. 不信任
vt. 不信任"
contagious,"a. 触染性的, 会蔓延的
"
out of style,"过时,不时兴,不时髦"
faced with,面临
be faced with,"面对,面临着…"
be hard on,"对…来说很艰苦,对…很严酷"
on the rise,"在上涨, 在增长"
a case in point,恰当的例子
all but,"几乎, 差一点"
different from, 异于…; 不比
be different from,"与…不同,和…不一样"
think of ... as,把...看作
in the case of,在...的情况
come to,"谈到, 被...继承, 苏醒, 停止"
lie in,"在于..., 分娩, 睡懒觉"
on the other hand,另一方面
at one's best,处在最佳状态
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
instinctively,"adv. 本能地, 直觉地"
inner,"a. 内部的, 内心的
n. 内部"
scarce,"a. 难得的, 稀罕的, 缺乏的"
conviction,"n. 定罪, 信服, 坚信
"
ensure,"vt. 确定, 保证, 担保, 保护
"
instrument,"n. 工具, 手段, 仪器
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
genuine,"a. 真正的, 真实的, 诚恳的
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
status,"n. 状态, 情形, 地位, 要人身份
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
conscience,"n. 良心
"
intelligence,"n. 智力, 情报, 信息
"
intelligent,"a. 聪明的, 智能的, 了解的"
aptitude,"n. 资质, 才能, 自然倾向
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
buck private, 列兵
KP,"abbr. (=king's pawn)(国际象棋中“王”前面的)兵
n. （常作为士兵惩罚的）伙房帮厨
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
complacent,"a. 满足的, 自满的, 得意的"
highly,"adv. 非常, 非常赞许地
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
worthy of,值得…的
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
auto,"n. 汽车
pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的"""
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
explore,"v. 探险, 探测, 探究"
vitals,"n. 重要器官, 要害, 命脉
"
pronouncement,"n. 声明, 公告, 宣言, 宣告, 发表, 意见, 决定
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
oracle,"n. 神谕, 神谕处, 预言"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
carpenter,n. 木匠
academician,"n. 学会会员, 院士, 学究, 大学生, 学者"
moron,"n. 低能者, 笨人
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
evaluation,"n. 评估, 估价, 求值
"
evaluate,"vt. 评估, 评价, 赋值"
subsection,"n. 分部, 分区, 分支
"
foist,"vt. 硬卖给, 偷偷插入, 使混入"
arbiter,"n. 仲裁人, 裁决者, 公断人
"
automobile,"n. 汽车
"
hood,"n. 头巾, 兜帽, 覆盖, 强盗
vt. 罩上, 覆盖"
doc,
deaf,"a. 聋的
"
deaf-and-dumb,聋哑的
hardware,"n. 硬件, 五金器具, 零件
"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
scissors,"pl. 剪刀
"
scissor,"vt. 剪, 剪取, 删除, 削减
n. 剪刀"
whereupon,"conj. 因此, 于是"
heartily,"adv. 衷心地, 真实地, 热心地"
smugly,adv. 沾沾自喜地；自鸣得意地
goddamned,"a. 该死的, 完全的, 十足的, 讨厌的"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
make a fuss of,"使倍受注目,对…过分体贴"
make a fuss over,过分关心(或体贴)
worthy of,值得…的
make up,"na. 弥补；起草；定；签订
"
similar to, 跟。。。类似得，与。。。同样的; 如同
by sb.'s estimate,无
take sth. for granted, 信以为然
go wrong,"走错路, 出毛病, 失败"
pick out,"na. 挑选；掘出；闻出；领会
"
try ... on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
for sure,确实
colleague,"n. 同事, 同僚"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
formula,"n. 客套语, 公式, 准则
"
calculate,"v. 计算, 预测, 计划, 打算"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
measurement,"n. 尺寸, 度量, 度量单位
"
sophisticated,"a. 复杂的, 久经世故的
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
conventional,"a. 传统的, 习惯的, 约定的
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
exhausting,"a. 使耗尽的, 使人筋疲力尽的
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
waitress,"n. 女侍者, 女服务员"
awry,"a. 歪的, 错误的
adv. 歪斜地, 错地"
apron,"n. 围裙
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
tray,"n. 托盘, 公文盘, 满盘, 发射箱
"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
discourage,"vt. 使气馁, 阻碍"
complicated,"a. 复杂的
"
ice-cream,"冰淇淋
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
reluctant,"a. 不情愿的, 勉强的
"
sunshine,"n. 阳光, 光明, 晴天"
linguist,n. 语言学家
salesman,"n. 售货员, 推销员
"
chary,"a. 细心的, 吝啬的, 谨慎的"
gracefully,adv. 优雅地；温文地
graceful,a. 优美的
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
indirectly,"adv. 间接, 曲折, 迂回, 不直截了当, 不诚实, 不坦率
"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
spiteful,"a. 怀恨的, 怀有恶意的, 恶意的"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
convey,"vt. 传达, 运输, 转让
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
flatter,"vt. 奉承, 阿谀, 使高兴
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
rewarding,"a. 有益的, 有报酬的, 报答的"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
generally,"adv. 通常, 逐渐地, 普遍地"
glorious,a. 光荣的
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
gas-station,加油站
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
housewife,"n. 主妇, 家庭妇女"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
dreary,a. 沉闷的
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
instinctively,"adv. 本能地, 直觉地"
instinct,"n. 本能, 直觉
a. 充满着的"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
criticize,"v. 批评, 吹毛求疵, 非难"
squabble,"vi. 争吵, 口角
n. 争吵, 口角"
quizzically,"adv. 疑问地, 戏弄地"
constructive,"a. 建设性的, 构造上的
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
favorably,"adv. 顺利地, 亲切地, 好意地"
favourably,adv. 顺利地；有利地；好意地（等于favorably）
favorable,"a. 有利的, 赞许的, 良好的"
favourable,"a. 有用的, 良好的, 赞成的, 顺利的
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
aware,"a. 知道的, 有觉悟的"
behavioral,a. 行为的
countless,"a. 数不尽的, 无数的"
arithmetic,"n. 算术, 算术知识
"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
dramatic,"a. 戏剧性的, 生动的"
youngster,"n. 小孩, 年轻人, 少年
"
appreciative,"a. 有欣赏力的, 感激的"
investment,"n. 投资
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
excellence,"n. 优秀, 卓越, 优点"
make out,"na. 理解；发现；起草；证明
"
only too,"非常, 实在, 完全"
not much of a,"不善于..., 不很好, 不是怎么了不起的..."
fish out,"na. (从水中)吊起；捞出；把鱼捕尽
"
shrug off,na. (耸肩)表示轻蔑
pat on the back,"na. 拍背(表示称赞,祝贺,鼓励)
"
pass on,"na. “pass away”的变体；递；传达；通过
"
live on,"继续生活, 以...为主食, 靠...生活"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
mood,"n. 心情, 气氛, 生气, 基调
"
employee,"n. 职员, 员工, 受雇人员
"
poetry,"n. 诗, 韵文, 诗歌艺术"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
