accuracy,"n. 精确, 正确
"
discriminate,"v. 区别, 差别待遇"
divorce,"n. 离婚
vt. 与...离婚"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
equality,"n. 平等, 均匀, 相等
"
excerpt,"n. 摘录
v. 引用, 摘录"
explore,"v. 探险, 探测, 探究"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
frontier,"n. 边界, 边境
"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
instinct,"n. 本能, 直觉
a. 充满着的"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
portray,"vt. 描绘, 描写, 描绘...的肖像"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
provided,"conj. 倘若, 以...为条件"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
successive,"a. 继承的, 连续的
"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tendency,"n. 趋向, 倾向
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
abound,"vi. 大量存在, 富于, 充满"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activity,"n. 活动, 行动, 活跃, 活力
"
amuse,"vt. 消遣, 娱乐, 使发笑"
appropriate,"a. 适当的
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistance,"n. 协助, 援助
"
bachelor,"n. 单身汉, 学士
"
bewilder,"vt. 使迷惑, 使不知所措"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
carve,"v. 雕刻, 切开"
circumstance,"n. 环境, 状况, 事件"
colonial,"a. 殖民的, 殖民地的
"
colony,"n. 殖民地, 移民队
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
confer,"vt. 授予, 带来
vi. 协商"
constrain,"vt. 强迫, 限制, 关押"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
detach,"vt. 使分离, 分遣
"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
equip,"vt. 装备, 配备
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
growth,"n. 生长, 栽培, 增长
"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
instruct,"vt. 教, 教育, 命令, 通知
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
literary,"a. 文学的, 文艺的, 精通文学的
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
misfortune,"n. 不幸, 灾祸, 坏运气
"
municipal,"a. 市政的, 自治区的, 内政的
"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
shortage,"n. 不足, 缺乏
"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
strap,"n. 带, 皮带
vt. (用皮带)捆扎"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
aggravate,"vt. 使恶化, 使更严重, 加重"
analogy,"n. 相似, 类似
"
approval,"n. 赞成, 批准
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
background,"n. 背景, 背景资料
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
breakdown,"n. 崩溃, 故障
"
cash,"n. 现金
vt. 兑现"
cite,"vt. 引用, 引证, 表彰
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
complicated,"a. 复杂的
"
confess,"v. 承认, 坦白, 忏悔, 供认"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
cooperate,"vi. 合作, 协力, 配合
"
cooperative,a. 合作的；合作社的
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
domain,"n. 领域, 领土, 产业, 范围
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
emigrate,"v. (使)移居, (使)移民"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
favorable,"a. 有利的, 赞许的, 良好的"
favourable,"a. 有用的, 良好的, 赞成的, 顺利的
"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hypothesis,"n. 假设
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
impressive,"a. 给人深刻印象的, 威严的"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
instrument,"n. 工具, 手段, 仪器
"
intrude,"vi. 闯入, 侵入
vt. 强加于"
largely,"adv. 大量地, 很多地, 大半地"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
mislead,vt. 误导
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
nourish,"vt. 滋养, 使健壮, 怀有"
opportunity,"n. 机会, 时机"
overhear,"vt. 无意中听到, 偷听"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
positive,"a. 肯定的, 积极的, 有把握的
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
professional,"n. 专业人才
a. 专业的, 职业的"
provoke,"vt. 激怒, 惹起, 诱导
"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
ridiculous,"a. 荒谬的, 可笑的"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
shortly,"adv. 不久, 简短, 唐突地"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
strategy,"n. 战略, 策略
"
suffice,"vi. 足够, 有能力
vt. 满足"
sufficient,"a. 充分的, 足够的
"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
up-to-date,"最近的, 最新的
"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
analyze,"vt. 分析, 细察, 分解
"
analyse,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
civilise,"vt. 开化, 使文明, (非正式)教化, 使文雅, 教育, 教导
vi. 变成文明社会"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
confidence,"n. 信心
"
confident,"a. 有信心的, 有把握的"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
cultivate,"vt. 培养, 耕作"
delegate,"n. 代表
vt. 委派...为代表"
detain,"vt. 扣留, 扣押, 耽搁
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
domestic,"a. 家庭的, 国内的, 驯养的
"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
economics,"n. 经济学
"
economy,"n. 经济, 理财, 节约
"
eminent,"a. 显赫的, 杰出的, 有名的"
erase,"vt. 抹去, 擦掉
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
fluent,"a. 流利的, 流畅的"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
highly,"adv. 非常, 非常赞许地
"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
insulate,"vt. 使绝缘, 隔离
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
missing,"a. 不见的, 缺少的
"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
preside,"vi. 统辖, 当主人, 主持
"
proficiency,"n. 精通, 熟练, 精练"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
rarely,"adv. 很少地, 罕有地"
redundant,"a. 多余的, 过多的, 冗长的
"
religion,"n. 宗教, 信仰
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
sneeze,"n. 喷嚏
vi. 打喷嚏"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
trait,"n. 特征, 特性, 一笔, 少许"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
wholly,"adv. 完全地, 整个, 统统, 全部
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
badly,"adv. 严重地, 恶劣地, 极度地"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
casualty,"n. 意外事故, 伤亡, 受害者
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumption,"n. 消费, 消费量, 痨病
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
delete,"vt. 删除
"
detect,"vt. 发现, 察觉, 探测
"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
excitement,"n. 刺激, 兴奋
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposure,"n. 暴露, 揭发, 揭露
"
feasible,"a. 能实行的, 可行的, 适宜的
"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
glorious,a. 光荣的
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
improvement,"n. 进步, 改善, 利用
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
ingredient,"n. 成分, 因素
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
mixture,"n. 混合, 混淆, 混合物
"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
nowhere,"adv. 无处, 到处都无"
oppress,"vt. 压迫, 压抑, 使烦恼"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
patriotic,"a. 爱国的, 有爱国心的
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
possibility,"n. 可能性, 可能的事
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
suggestion,"n. 提议, 意见
"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
tentative,"n. 试验
a. 试验性的, 暂时的"
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
urgent,"a. 紧急的, 急迫的, 催逼的
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
agony,"n. 极大的痛苦, 挣扎
"
ancestor,"n. 祖先, 祖宗"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
comply,"vi. 顺从, 依从
"
cope,"vi. 竞争, 应付
n. 长袍"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deteriorate,v. (使)恶化
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
dominant,"a. 占优势的, 支配的
"
dominate,"v. 支配, 占优势"
error,"n. 错误, 过失, 失误, 误差
"
exclaim,"v. 大叫, 呼喊, 大声叫"
exquisite,"a. 精致的, 细腻的, 敏锐的"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
